Title,Genre,Rating,Votes,Duration
1. Flow,Adventure,7.9, (53K),1h 25m
2. Dune: Part Two,Adventure,8.5, (609K),2h 46m
3. Venom: The Last Dance,Adventure,6.0, (104K),1h 50m
4. Gladiator II,Adventure,6.6, (213K),2h 28m
5. Sonic the Hedgehog 3,Adventure,6.9, (51K),1h 50m
6. The Lord of the Rings: The War of the Rohirrim,Adventure,6.3, (27K),2h 14m
7. Mufasa: The Lion King,Adventure,6.6, (46K),1h 58m
8. Furiosa: A Mad Max Saga,Adventure,7.5, (278K),2h 28m
9. Despicable Me 4,Adventure,6.2, (61K),1h 34m
10. Borderlands,Adventure,4.7, (44K),1h 41m
11. Paddington in Peru,Adventure,6.7, (16K),1h 46m
12. Deadpool & Wolverine,Adventure,7.6, (477K),2h 8m
13. Moana 2,Adventure,6.8, (81K),1h 40m
14. Civil War,Adventure,7.0, (231K),1h 49m
15. The Count of Monte-Cristo,Adventure,7.6, (32K),2h 58m
16. Twisters,Adventure,6.5, (159K),2h 2m
17. Inside Out 2,Adventure,7.5, (210K),1h 36m
18. Kingdom of the Planet of the Apes,Adventure,6.9, (149K),2h 25m
19. Madame Web,Adventure,4.0, (99K),1h 56m
20. Red One,Adventure,6.3, (137K),2h 3m
21. Wallace & Gromit: Vengeance Most Fowl,Adventure,7.5, (32K),1h 22m
22. Night of the Zoopocalypse,Adventure,6.2, (263),1h 31m
23. Transformers One,Adventure,7.6, (47K),1h 44m
24. Attack on Titan the Movie: The Last Attack,Adventure,9.3, (14K),2h 25m
25. The Return,Adventure,6.2, (7.2K),1h 56m
26. Bad Boys: Ride or Die,Adventure,6.5, (97K),1h 55m
27. Damsel,Adventure,6.1, (108K),1h 50m
28. Solo Leveling: ReAwakening,Adventure,8.7, (5.9K),2h 1m
29. The Day the Earth Blew Up: A Looney Tunes Movie,Adventure,6.6, (937),1h 31m
30. Love Lies Bleeding,Adventure,6.6, (55K),1h 44m
31. Godzilla x Kong: The New Empire,Adventure,6.1, (119K),1h 55m
32. Ghostbusters: Frozen Empire,Adventure,6.1, (92K),1h 55m
33. Freaky Tales,Adventure,6.5, (361),1h 46m
34. The Garfield Movie,Adventure,5.7, (23K),1h 41m
35. Spaceman,Adventure,5.7, (42K),1h 47m
36. Uglies,Adventure,4.7, (32K),1h 40m
37. Kung Fu Panda 4,Adventure,6.3, (66K),1h 34m
38. Descendants: The Rise of Red,Adventure,4.7, (6.8K),1h 31m
39. Harold and the Purple Crayon,Adventure,5.7, (7.8K),1h 30m
40. Atlas,Adventure,5.6, (55K),1h 58m
41. Winner,Adventure,6.5, (2.2K),1h 43m
42. A Sloth Story,Adventure,6.2, (145),1h 30m
43. Kalki 2898 AD,Adventure,7.0, (66K),3h
44. Hitpig,Adventure,5.0, (799),1h 26m
45. Arthur the King,Adventure,7.0, (33K),1h 47m
46. Spellbound,Adventure,5.7, (6.2K),1h 49m
47. Survive,Adventure,4.6, (2K),1h 30m
48. Rebel Moon - Part Two: The Scargiver,Adventure,5.3, (59K),2h 2m
49. Lost on a Mountain in Maine,Adventure,6.2, (1.1K),1h 38m
50. Monster Summer,Adventure,5.7, (3.4K),1h 37m
51. Bookworm,Adventure,6.0, (1.7K),1h 43m
52. No Way Up,Adventure,4.6, (10K),1h 30m
53. Something in the Water,Adventure,4.1, (4.5K),1h 26m
54. Megamind vs. The Doom Syndicate,Adventure,2.5, (5.4K),1h 23m
55. Family Pack,Adventure,5.5, (8.6K),1h 34m
56. The Unholy Trinity,Adventure,7.5, (48),1h 33m
57. The Empire,Adventure,5.2, (1.2K),1h 50m
58. Sasquatch Sunset,Adventure,5.4, (5.3K),1h 28m
59. My Penguin Friend,Adventure,6.7, (4.6K),1h 37m
60. Saving Bikini Bottom: The Sandy Cheeks Movie,Adventure,3.7, (3.7K),1h 22m
61. Orion and the Dark,Adventure,6.3, (17K),1h 33m
62. River of Blood,Adventure,5.4, (1.5K),1h 26m
63. Guest from the Future,Adventure,6.0, (1.1K),2h 21m
64. The Best Christmas Pageant Ever,Adventure,6.8, (6K),1h 39m
65. Unspeakable: Beyond the Wall of Sleep,Adventure,6.1, (34),1h 30m
66. The Goat Life,Adventure,7.1, (47K),2h 53m
67. My Hero Academia: You're Next,Adventure,7.0, (1.8K),1h 50m
68. That Christmas,Adventure,6.8, (17K),1h 31m
69. Justice League: Crisis on Infinite Earths - Part One,Adventure,6.2, (8.3K),1h 33m
70. Badland Hunters,Adventure,5.9, (12K),1h 47m
71. Thelma the Unicorn,Adventure,5.7, (2.8K),1h 33m
72. The Lost Tiger,Adventure,7.8, (31),1h 30m
73. The Courier,Adventure,6.0, (4.3K),1h 41m
74. Autumn and the Black Jaguar,Adventure,5.6, (953),1h 40m
75. Cells at Work!,Adventure,6.8, (152),1h 49m
76. Justice League: Crisis on Infinite Earths - Part Three,Adventure,6.1, (4.3K),1h 34m
77. The Price of Money: A Largo Winch Adventure,Adventure,5.0, (1K),1h 40m
78. The Wages of Fear,Adventure,4.6, (4K),1h 44m
79. The Tiger's Apprentice,Adventure,5.8, (2.1K),1h 24m
80. Crayon Shin-chan: Ora's Dinosaur Diary,Adventure,6.6, (300),1h 46m
81. No Chains No Masters,Adventure,6.5, (469),1h 38m
82. Bambi: A Tale of Life in the Woods,Adventure,5.7, (148),1h 25m
"83. I, the Executioner",Adventure,6.3, (1.5K),1h 58m
84. Golden Kamuy,Adventure,6.3, (2.5K),2h 7m
85. Cult Killer,Adventure,4.8, (2.7K),1h 45m
86. Manjummel Boys,Adventure,8.2, (27K),2h 15m
87. Doraemon the Movie: Nobita's Earth Symphony,Adventure,6.6, (1.4K),1h 55m
88. Ultraman: Rising,Adventure,6.9, (6.2K),1h 57m
89. Storm Crashers,Adventure,6.3, (547),1h 28m
90. 200% Wolf,Adventure,5.9, (1.2K),1h 38m
91. The Last Redemption,Adventure,6.7, (3.2K),2h 2m
92. Dragonkeeper,Adventure,5.7, (1.6K),1h 38m
