Title,Genre,Rating,Votes,Duration
1. Flow,Animation,7.9, (53K),1h 25m
2. The Wild Robot,Animation,8.2, (149K),1h 42m
3. The Lord of the Rings: The War of the Rohirrim,Animation,6.3, (27K),2h 14m
4. Mufasa: The Lion King,Animation,6.6, (46K),1h 58m
5. Despicable Me 4,Animation,6.2, (61K),1h 34m
6. Moana 2,Animation,6.8, (81K),1h 40m
7. Spermageddon,Animation,5.7, (533),1h 20m
8. Inside Out 2,Animation,7.5, (210K),1h 36m
9. Memoir of a Snail,Animation,7.8, (14K),1h 35m
10. Wallace & Gromit: Vengeance Most Fowl,Animation,7.5, (32K),1h 22m
11. Night of the Zoopocalypse,Animation,6.2, (263),1h 31m
12. Transformers One,Animation,7.6, (47K),1h 44m
13. IF,Animation,6.4, (56K),1h 44m
14. Attack on Titan the Movie: The Last Attack,Animation,9.3, (14K),2h 25m
15. Solo Leveling: ReAwakening,Animation,8.7, (5.9K),2h 1m
16. The Day the Earth Blew Up: A Looney Tunes Movie,Animation,6.6, (937),1h 31m
17. The Garfield Movie,Animation,5.7, (23K),1h 41m
18. Kung Fu Panda 4,Animation,6.3, (66K),1h 34m
19. Harold and the Purple Crayon,Animation,5.7, (7.8K),1h 30m
20. Grand Theft Hamlet,Animation,6.9, (1.4K),1h 29m
21. Watchmen: Chapter I,Animation,7.0, (6.2K),1h 23m
22. A Sloth Story,Animation,6.2, (145),1h 30m
23. Look Back,Animation,7.8, (14K),58m
24. Hitpig,Animation,5.0, (799),1h 26m
25. Spellbound,Animation,5.7, (6.2K),1h 49m
26. Piece by Piece,Animation,6.9, (5K),1h 33m
27. Watchmen: Chapter II,Animation,7.0, (2.7K),1h 30m
28. Megamind vs. The Doom Syndicate,Animation,2.5, (5.4K),1h 23m
29. Saving Bikini Bottom: The Sandy Cheeks Movie,Animation,3.7, (3.7K),1h 22m
30. Orion and the Dark,Animation,6.3, (17K),1h 33m
31. The Remarkable Life of Ibelin,Animation,8.2, (12K),1h 43m
32. My Hero Academia: You're Next,Animation,7.0, (1.8K),1h 50m
33. That Christmas,Animation,6.8, (17K),1h 31m
34. Justice League: Crisis on Infinite Earths - Part One,Animation,6.2, (8.3K),1h 33m
35. Thelma the Unicorn,Animation,5.7, (2.8K),1h 33m
36. The Lost Tiger,Animation,7.8, (31),1h 30m
37. Justice League: Crisis on Infinite Earths - Part Three,Animation,6.1, (4.3K),1h 34m
38. The Most Precious of Cargoes,Animation,7.2, (659),1h 21m
39. The Tiger's Apprentice,Animation,5.8, (2.1K),1h 24m
40. Crayon Shin-chan: Ora's Dinosaur Diary,Animation,6.6, (300),1h 46m
41. 10 Lives,Animation,5.9, (1.8K),1h 28m
42. Doraemon the Movie: Nobita's Earth Symphony,Animation,6.6, (1.4K),1h 55m
43. Ultraman: Rising,Animation,6.9, (6.2K),1h 57m
44. Storm Crashers,Animation,6.3, (547),1h 28m
45. 200% Wolf,Animation,5.9, (1.2K),1h 38m
46. Dragonkeeper,Animation,5.7, (1.6K),1h 38m
47. Woody Woodpecker Goes to Camp,Animation,4.5, (2.5K),1h 40m
48. Limonov: The Ballad of Eddie,Animation,6.0, (720),2h 18m
49. Dan Da Dan: First Encounter,Animation,8.2, (2.5K),1h 23m
50. Re: Zero - Starting Life in Another World- Season 3 Episode 1 90-minute Special 'Theatrical Malice',Animation,8.7, (934),1h 30m
51. The Colors Within,Animation,7.2, (776),1h 41m
52. Mars,Animation,8.9, (19),1h 24m
53. Mononoke the Movie: The Phantom in the Rain,Animation,6.7, (1.1K),1h 29m
54. Justice League: Crisis on Infinite Earths - Part Two,Animation,5.5, (5.2K),1h 34m
55. Buffalo Kids,Animation,6.6, (621),1h 33m
56. From Ground Zero,Animation,7.9, (485),1h 52m
57. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,Animation,7.1, (8.2K),1h 44m
