Title,Genre,Rating,Votes,Duration
1. A Complete Unknown,Biography,7.4, (55K),2h 21m
2. I'm Still Here,Biography,8.5, (89K),2h 17m
3. The Apprentice,Biography,7.1, (48K),2h 2m
4. Queen of the Ring,Biography,7.1, (602),2h 20m
5. William Tell,Biography,5.8, (1.3K),2h 13m
6. Better Man,Biography,7.6, (21K),2h 15m
7. Saturday Night,Biography,6.9, (28K),1h 49m
8. Maria,Biography,6.4, (18K),2h 4m
9. Queer,Biography,6.5, (17K),2h 17m
10. Reagan,Biography,6.2, (11K),2h 21m
11. Nr. 24,Biography,7.5, (14K),1h 51m
12. Unfrosted,Biography,5.5, (34K),1h 37m
13. Bonhoeffer: Pastor. Spy. Assassin.,Biography,6.3, (3.3K),2h 13m
14. Ordinary Angels,Biography,7.4, (15K),1h 58m
15. Winner,Biography,6.5, (2.2K),1h 43m
16. Back to Black,Biography,6.3, (26K),2h 2m
17. Young Woman and the Sea,Biography,7.5, (16K),2h 9m
18. Joy,Biography,7.1, (8.8K),1h 55m
19. Elton John: Never Too Late,Biography,6.5, (1.8K),1h 42m
20. Rob Peace,Biography,6.6, (1.8K),2h
21. Bob Marley: One Love,Biography,6.2, (34K),1h 47m
22. Piece by Piece,Biography,6.9, (5K),1h 33m
23. Cabrini,Biography,7.3, (8.4K),2h 22m
24. Faith of Angels,Biography,6.0, (160),1h 38m
25. Audrey's Children,Biography,8.6, (58),1h 50m
26. Scoop,Biography,6.5, (20K),1h 42m
27. Monsieur Aznavour,Biography,7.3, (2K),2h 13m
28. Super/Man: The Christopher Reeve Story,Biography,8.0, (8.6K),1h 44m
29. The Remarkable Life of Ibelin,Biography,8.2, (12K),1h 43m
30. Chhava,Biography,8.6, (2.2K),51m
31. The Fire Inside,Biography,6.8, (2K),1h 49m
32. Harbin,Biography,6.6, (460),1h 48m
33. Amaran,Biography,8.2, (18K),2h 47m
34. Maharaj,Biography,6.5, (15K),2h 11m
35. Midas Man,Biography,6.4, (1.4K),1h 52m
36. El 47,Biography,7.2, (3K),1h 50m
37. Goebbels and the Führer,Biography,6.7, (1.9K),2h 15m
38. Being Maria,Biography,6.1, (513),1h 40m
"39. From Hilde, with Love",Biography,7.0, (707),2h 5m
