Title,Genre,Rating,Votes,Duration
1. Emilia Pérez,Crime,5.4, (83K),N/A
2. The Order,Crime,6.8, (36K),N/A
3. Longlegs,Crime,6.6, (177K),N/A
4. Riff Raff,Crime,6.4, (739),N/A
5. Pushpa: The Rule - Part 2,Crime,6.1, (53K),N/A
6. Despicable Me 4,Crime,6.2, (62K),N/A
7. Juror #2,Crime,7.0, (90K),N/A
8. MaXXXine,Crime,6.3, (67K),N/A
9. The Seed of the Sacred Fig,Crime,7.6, (12K),N/A
10. Carry-On,Crime,6.5, (158K),N/A
11. The Crow,Crime,4.7, (32K),N/A
12. The Beekeeper,Crime,6.3, (152K),N/A
13. Trap,Crime,5.8, (128K),N/A
14. Wolfs,Crime,6.5, (78K),N/A
15. Rebel Ridge,Crime,6.8, (85K),N/A
16. Bad Boys: Ride or Die,Crime,6.5, (97K),N/A
17. Lucky Baskhar,Crime,8.0, (29K),N/A
18. Monkey Man,Crime,6.8, (90K),N/A
19. Love Lies Bleeding,Crime,6.6, (55K),N/A
20. Freaky Tales,Crime,6.5, (361),N/A
21. Absolution,Crime,5.2, (7.3K),N/A
22. Greedy People,Crime,6.2, (10K),N/A
23. Sleeping Dogs,Crime,6.2, (21K),N/A
24. Lift,Crime,5.5, (49K),N/A
25. Beverly Hills Cop: Axel F,Crime,6.4, (80K),N/A
26. Beating Hearts,Crime,7.1, (3.9K),N/A
27. The Instigators,Crime,6.2, (37K),N/A
28. Blackwater Lane,Crime,4.6, (1.7K),N/A
29. Killer Heat,Crime,5.6, (13K),N/A
30. Misericordia,Crime,6.9, (1.5K),N/A
31. Brothers,Crime,5.4, (13K),N/A
32. Maharaja,Crime,8.4, (65K),N/A
33. The Thicket,Crime,5.8, (2.9K),N/A
34. Long Gone Heroes,Crime,5.2, (935),N/A
35. The Silent Hour,Crime,6.1, (6.9K),N/A
36. Hitpig,Crime,5.1, (805),N/A
37. The Shadow Strays,Crime,6.5, (8.8K),N/A
