Title,Genre,Rating,Votes,Duration
1. Anora,Drama,7.6, (140K),N/A
2. The Brutalist,Drama,7.5, (64K),N/A
3. Emilia Pérez,Drama,5.4, (83K),N/A
4. The Substance,Drama,7.3, (275K),N/A
5. Conclave,Drama,7.4, (127K),N/A
6. A Complete Unknown,Drama,7.4, (56K),N/A
7. A Real Pain,Drama,7.1, (72K),N/A
8. I'm Still Here,Drama,8.5, (90K),N/A
9. The Apprentice,Drama,7.1, (48K),N/A
10. Nickel Boys,Drama,7.0, (16K),N/A
11. Dune: Part Two,Drama,8.5, (610K),N/A
12. Queen of the Ring,Drama,7.1, (645),N/A
13. Gladiator II,Drama,6.6, (213K),N/A
14. Babygirl,Drama,6.0, (46K),N/A
15. September 5,Drama,7.1, (19K),N/A
16. The Lord of the Rings: The War of the Rohirrim,Drama,6.3, (27K),N/A
17. Presence,Drama,6.2, (15K),N/A
18. The Order,Drama,6.8, (36K),N/A
19. Mufasa: The Lion King,Drama,6.6, (46K),N/A
20. The Last Showgirl,Drama,6.5, (8K),N/A
21. William Tell,Drama,5.8, (1.3K),N/A
22. It Ends with Us,Drama,6.4, (80K),N/A
23. Pushpa: The Rule - Part 2,Drama,6.1, (53K),N/A
24. We Live in Time,Drama,7.0, (47K),N/A
25. Saturday Night,Drama,6.9, (28K),N/A
26. Juror #2,Drama,7.0, (90K),N/A
27. Parthenope,Drama,6.7, (8.4K),N/A
28. The Girl with the Needle,Drama,7.5, (11K),N/A
29. A Different Man,Drama,6.9, (27K),N/A
30. Here,Drama,6.3, (17K),N/A
31. Megalopolis,Drama,4.7, (34K),N/A
32. Maria,Drama,6.4, (18K),N/A
33. Challengers,Drama,7.1, (150K),N/A
34. The Six Triple Eight,Drama,6.7, (25K),N/A
35. The Count of Monte-Cristo,Drama,7.6, (32K),N/A
36. The Seed of the Sacred Fig,Drama,7.6, (12K),N/A
37. Speak No Evil,Drama,6.8, (91K),N/A
38. Small Things Like These,Drama,6.8, (20K),N/A
39. Queer,Drama,6.5, (17K),N/A
40. Kinds of Kindness,Drama,6.5, (57K),N/A
41. Inside Out 2,Drama,7.5, (210K),N/A
42. Memoir of a Snail,Drama,7.8, (14K),N/A
43. The Fall Guy,Drama,6.8, (215K),N/A
44. My Dead Friend Zoe,Drama,7.3, (999),N/A
45. Joker: Folie à Deux,Drama,5.2, (156K),N/A
46. Horizon: An American Saga - Chapter 1,Drama,6.7, (39K),N/A
47. Superboys of Malegaon,Drama,8.0, (860),N/A
