Title,Genre,Rating,Votes,Duration
1. Flow,Family,7.9, (53K),1h 25m
2. Sonic the Hedgehog 3,Family,6.9, (51K),1h 50m
3. Mufasa: The Lion King,Family,6.6, (46K),1h 58m
4. Despicable Me 4,Family,6.2, (61K),1h 34m
5. Paddington in Peru,Family,6.7, (16K),1h 46m
6. Moana 2,Family,6.8, (81K),1h 40m
7. Inside Out 2,Family,7.5, (210K),1h 36m
8. Wallace & Gromit: Vengeance Most Fowl,Family,7.5, (32K),1h 22m
9. Transformers One,Family,7.6, (47K),1h 44m
10. IF,Family,6.4, (56K),1h 44m
11. The Day the Earth Blew Up: A Looney Tunes Movie,Family,6.6, (943),1h 31m
12. Fear,Family,8.6, (2.7K),1h 55m
13. The Garfield Movie,Family,5.7, (23K),1h 41m
14. The Forge,Family,6.7, (4.5K),2h 4m
15. Kung Fu Panda 4,Family,6.3, (66K),1h 34m
16. Descendants: The Rise of Red,Family,4.7, (6.8K),1h 31m
17. Harold and the Purple Crayon,Family,5.7, (7.8K),1h 30m
18. A Sloth Story,Family,6.2, (145),1h 30m
19. Young Hearts,Family,8.1, (4.3K),1h 37m
20. How to Make Millions Before Grandma Dies,Family,8.0, (13K),2h 5m
21. Hitpig,Family,5.0, (799),1h 26m
22. Spellbound,Family,5.7, (6.2K),1h 49m
23. Lost on a Mountain in Maine,Family,6.2, (1.1K),1h 38m
24. Piece by Piece,Family,6.9, (5K),1h 33m
25. Faith of Angels,Family,6.0, (160),1h 38m
26. Megamind vs. The Doom Syndicate,Family,2.5, (5.4K),1h 23m
27. Panda Plan,Family,5.1, (1.1K),1h 39m
28. You Gotta Believe,Family,5.8, (1.2K),1h 44m
29. My Penguin Friend,Family,6.7, (4.6K),1h 37m
30. Unsung Hero,Family,7.0, (4.9K),1h 53m
31. Saving Bikini Bottom: The Sandy Cheeks Movie,Family,3.7, (3.7K),1h 22m
32. Orion and the Dark,Family,6.3, (17K),1h 33m
33. Guest from the Future,Family,6.0, (1.1K),2h 21m
34. Big World,Family,7.4, (938),2h 11m
35. The Thundermans Return,Family,5.0, (1.8K),1h 10m
36. That Christmas,Family,6.8, (17K),1h 31m
37. Thelma the Unicorn,Family,5.7, (2.8K),1h 33m
38. The Lost Tiger,Family,7.8, (31),1h 30m
39. Autumn and the Black Jaguar,Family,5.6, (953),1h 40m
40. The Tiger's Apprentice,Family,5.8, (2.1K),1h 24m
41. Crayon Shin-chan: Ora's Dinosaur Diary,Family,6.6, (300),1h 46m
42. Bambi: A Tale of Life in the Woods,Family,5.7, (148),1h 25m
43. 10 Lives,Family,5.9, (1.8K),1h 28m
44. Doraemon the Movie: Nobita's Earth Symphony,Family,6.6, (1.4K),1h 55m
45. Ultraman: Rising,Family,6.9, (6.2K),1h 57m
46. Storm Crashers,Family,6.3, (547),1h 28m
47. 200% Wolf,Family,5.9, (1.2K),1h 38m
48. Woody Woodpecker Goes to Camp,Family,4.5, (2.5K),1h 40m
49. Woodwalkers,Family,5.5, (313),1h 43m
50. Meiyazhagan,Family,8.4, (13K),2h 57m
51. Runt,Family,6.4, (482),1h 31m
52. Buffalo Kids,Family,6.6, (621),1h 33m
53. Bibi Rajni,Family,8.6, (706),2h 23m
54. Average Joe,Family,4.1, (555),1h 40m
55. Rebellious,Family,6.0, (150),1h 34m
56. Der Buchspazierer,Family,7.3, (342),1h 38m
57. Ghost Cat Anzu,Family,6.5, (648),1h 37m
58. The Night Before Christmas in Wonderland,Family,6.3, (506),1h 20m
59. My Freaky Family,Family,6.5, (378),1h 26m
60. Ryan's World the Movie: Titan Universe Adventure,Family,1.8, (625),1h 20m
61. Savages,Family,7.0, (261),1h 27m
62. The Groomsmen: First Look,Family,6.1, (372),1h 22m
63. Robin and the Hoods,Family,4.4, (503),1h 40m
64. Man and Witch: The Dance of a Thousand Steps,Family,5.6, (319),1h 34m
65. Gracie and Pedro: Pets to the Rescue,Family,5.1, (253),1h 27m
66. And the Breadwinner Is...,Family,6.8, (241),2h 3m
67. Believe in Christmas,Family,6.1, (817),1h 30m
68. The Magician's Raincoat,Family,5.5, (77),N/A
69. Super-Charlie,Family,6.4, (102),1h 20m
70. Return to Wickensburg,Family,5.1, (19),1h 28m
71. Home Sweet Loan,Family,8.1, (803),1h 52m
72. A Sudden Case of Christmas,Family,5.1, (1.1K),1h 31m
73. A Nashville Wish,Family,5.6, (86),1h 42m
74. Noah's Ark,Family,4.3, (621),1h 36m
75. My Oni Girl,Family,6.0, (1.7K),1h 52m
76. A Brother and 7 Siblings,Family,8.6, (1.1K),2h 9m
77. Kid Santa,Family,N/A,N/A,N/A
78. School of Magical Animals 3,Family,5.8, (291),1h 45m
79. Disaster Holiday,Family,4.8, (661),1h 33m
80. A Carpenter's Prayer,Family,8.6, (33),1h 31m
81. Rally Caps,Family,5.6, (122),1h 40m
82. Marry Christmas,Family,6.9, (57),1h 25m
83. Chico Bento e a Goiabeira Maraviosa,Family,7.8, (451),1h 30m
84. Living Large,Family,7.8, (96),1h 20m
85. Børnene fra Sølvgade,Family,7.6, (88),1h 42m
86. Dalia y el Libro Rojo,Family,7.3, (26),1h 47m
87. Panda Bear in Africa,Family,5.5, (300),1h 24m
88. Brewster's Millions: Christmas,Family,5.7, (183),1h 40m
89. Like a Rolling Stone,Family,7.8, (397),1h 46m
90. Going Viral,Family,6.6, (47),1h 30m
91. Victoria må dø,Family,5.9, (342),1h 25m
92. The Neon Highway,Family,6.0, (482),1h 53m
93. The Snow Sister,Family,7.0, (2.1K),1h 36m
94. Bremenskie muzykanty,Family,4.6, (658),1h 55m
95. Father There is Only One 4,Family,5.2, (596),1h 30m
96. Bila Esok Ibu Tiada,Family,6.6, (218),1h 44m
97. Treasure Trackers,Family,5.8, (148),1h 32m
98. 2nd Miracle in Cell No. 7,Family,7.8, (197),2h 27m
99. My Redneck Neighbor: Chapter 2 - Let the Games Begin,Family,N/A,N/A,55m
100. No Time to Spy: A Loud House Movie,Family,6.4, (431),1h 21m
101. Dear Family,Family,7.1, (43),1h 56m
102. The Primrose Railway Children,Family,4.9, (141),1h 21m
"103. Maya, donne-moi un titre",Family,6.5, (44),1h 1m
104. The Casagrandes Movie,Family,5.6, (645),1h 29m
105. Paper Flowers,Family,9.0, (28),1h 40m
106. Windcatcher,Family,5.3, (405),1h 20m
107. Il migliore dei mali,Family,N/A,N/A,1h 30m
108. Heartsping : Teenieping of Love,Family,7.0, (19),TV-Y
109. Ole Aale,Family,8.7, (406),2h 22m
110. Juliette au printemps,Family,6.5, (213),1h 35m
111. Dance Rivals,Family,6.0, (62),1h 33m
112. The Lamb,Family,7.1, (27),1h 25m
113. Juf Braaksel en de Geniale Ontsnapping,Family,4.0, (40),1h 23m
114. Big City Greens the Movie: Spacecation,Family,6.2, (526),TV-Y7
115. Véletlenül írtam egy könyvet,Family,7.7, (263),1h 38m
116. Skelly,Family,5.6, (87),1h 25m
117. Grrr...,Family,4.0, (803),2h 1m
118. Saint Nick of Bethlehem,Family,9.3, (94),1h 33m
119. G for Gap,Family,7.2, (528),1h 43m
120. The Magic Penguin,Family,3.8, (24),1h 29m
121. Dog Days,Family,6.7, (294),2h
122. Troy the Bharat Putra,Family,5.7, (29),2h 14m
123. Dongeng Sang Kancil,Family,8.1, (75),1h 39m
124. Singapore Saloon,Family,6.0, (1.2K),2h 17m
125. Si Juki the Movie: Harta Pulau Monyet,Family,6.1, (113),1h 47m
