Title,Genre,Rating,Votes,Duration
1. Flow,Fantasy,7.9, (53K),1h 25m
2. Nosferatu,Fantasy,7.3, (174K),2h 12m
3. Wicked,Fantasy,7.5, (139K),2h 40m
4. Sonic the Hedgehog 3,Fantasy,6.9, (51K),1h 50m
5. The Lord of the Rings: The War of the Rohirrim,Fantasy,6.3, (27K),2h 14m
6. Mufasa: The Lion King,Fantasy,6.6, (46K),1h 58m
7. Better Man,Fantasy,7.6, (21K),2h 15m
8. Parthenope,Fantasy,6.7, (8.3K),2h 17m
9. Moana 2,Fantasy,6.8, (81K),1h 40m
10. Megalopolis,Fantasy,4.7, (34K),2h 18m
11. The Watchers,Fantasy,5.7, (55K),1h 42m
12. The Crow,Fantasy,4.7, (32K),1h 51m
13. Inside Out 2,Fantasy,7.5, (210K),1h 36m
14. Beetlejuice Beetlejuice,Fantasy,6.7, (142K),1h 45m
15. Red One,Fantasy,6.3, (137K),2h 3m
16. Transformers One,Fantasy,7.6, (47K),1h 44m
17. IF,Fantasy,6.4, (56K),1h 44m
18. Damsel,Fantasy,6.1, (108K),1h 50m
19. Solo Leveling: ReAwakening,Fantasy,8.7, (5.9K),2h 1m
20. Godzilla x Kong: The New Empire,Fantasy,6.1, (119K),1h 55m
21. Ghostbusters: Frozen Empire,Fantasy,6.1, (92K),1h 55m
22. The Life of Chuck,Fantasy,7.8, (444),1h 50m
23. The Garfield Movie,Fantasy,5.7, (23K),1h 41m
24. Uglies,Fantasy,4.7, (32K),1h 40m
25. Kung Fu Panda 4,Fantasy,6.3, (66K),1h 34m
26. Descendants: The Rise of Red,Fantasy,4.7, (6.8K),1h 31m
27. Harold and the Purple Crayon,Fantasy,5.7, (7.8K),1h 30m
28. Hagen,Fantasy,6.2, (929),2h 19m
29. Kalki 2898 AD,Fantasy,7.0, (66K),3h
30. Spellbound,Fantasy,5.7, (6.2K),1h 49m
31. The Tearsmith,Fantasy,5.2, (12K),1h 43m
32. Rebel Moon - Part Two: The Scargiver,Fantasy,5.3, (59K),2h 2m
33. A Dog's Will 2,Fantasy,6.3, (2.6K),1h 44m
34. Monster Summer,Fantasy,5.7, (3.4K),1h 37m
35. The End,Fantasy,5.5, (1.5K),2h 28m
36. Girl Haunts Boy,Fantasy,6.3, (2.8K),1h 40m
37. The Wonderful Story of Henry Sugar and Three More,Fantasy,7.1, (6.1K),1h 28m
38. Family Pack,Fantasy,5.5, (8.6K),1h 34m
39. Saving Bikini Bottom: The Sandy Cheeks Movie,Fantasy,3.7, (3.7K),1h 22m
40. Orion and the Dark,Fantasy,6.3, (17K),1h 33m
41. The American Society of Magical Negroes,Fantasy,3.7, (12K),1h 44m
42. Irish Wish,Fantasy,5.2, (21K),1h 33m
43. The Best Christmas Pageant Ever,Fantasy,6.8, (6K),1h 39m
44. The Sand Castle,Fantasy,4.7, (1.6K),1h 38m
45. Dear Santa,Fantasy,5.4, (18K),1h 47m
46. Unspeakable: Beyond the Wall of Sleep,Fantasy,6.1, (34),1h 30m
47. The Thundermans Return,Fantasy,5.0, (1.8K),1h 10m
48. Pedro Páramo,Fantasy,6.3, (2.8K),2h 10m
49. That Christmas,Fantasy,6.8, (17K),1h 31m
50. Hot Frosty,Fantasy,5.3, (14K),1h 32m
51. Justice League: Crisis on Infinite Earths - Part One,Fantasy,6.2, (8.3K),1h 33m
52. This Is Me... Now,Fantasy,4.1, (7K),1h 5m
53. Bhool Bhulaiyaa 3,Fantasy,4.7, (77K),2h 38m
54. Thelma the Unicorn,Fantasy,5.7, (2.8K),1h 33m
55. The Lost Tiger,Fantasy,7.8, (31),1h 30m
56. Cells at Work!,Fantasy,6.8, (152),1h 49m
57. Justice League: Crisis on Infinite Earths - Part Three,Fantasy,6.1, (4.3K),1h 34m
58. Timestalker,Fantasy,5.5, (2.8K),1h 29m
59. The Tiger's Apprentice,Fantasy,5.8, (2.1K),1h 24m
60. The Balconettes,Fantasy,6.3, (724),1h 44m
61. 10 Lives,Fantasy,5.9, (1.8K),1h 28m
62. Doraemon the Movie: Nobita's Earth Symphony,Fantasy,6.6, (1.4K),1h 55m
63. Ultraman: Rising,Fantasy,6.9, (6.2K),1h 57m
64. 200% Wolf,Fantasy,5.9, (1.2K),1h 38m
65. Dragonkeeper,Fantasy,5.7, (1.6K),1h 38m
66. Cinderella's Revenge,Fantasy,3.7, (1K),1h 25m
67. Woody Woodpecker Goes to Camp,Fantasy,4.5, (2.5K),1h 40m
68. Angels Fallen: Warriors of Peace,Fantasy,4.9, (5.8K),1h 43m
69. Cinderella's Curse,Fantasy,3.3, (1.2K),1h 22m
70. Dan Da Dan: First Encounter,Fantasy,8.2, (2.5K),1h 23m
71. Warchief,Fantasy,2.5, (600),1h 34m
72. A Trip Elsewhere,Fantasy,5.4, (88),1h 33m
73. Woodwalkers,Fantasy,5.5, (313),1h 43m
74. Mars,Fantasy,8.9, (19),1h 24m
75. Gaami,Fantasy,6.4, (2K),2h 27m
76. Mononoke the Movie: The Phantom in the Rain,Fantasy,6.7, (1.1K),1h 29m
77. Justice League: Crisis on Infinite Earths - Part Two,Fantasy,5.5, (5.2K),1h 34m
78. Buffalo Kids,Fantasy,6.6, (621),1h 33m
79. Hanu Man,Fantasy,7.7, (29K),2h 38m
80. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,Fantasy,7.1, (8.2K),1h 44m
81. Shrek 5: The Contract - A Fan Made Film,Fantasy,7.0, (17),1h 24m
82. Harry Potter and the Stone,Fantasy,8.0, (155),2h 32m
83. Rebellious,Fantasy,6.0, (150),1h 34m
84. Overlord: The Sacred Kingdom,Fantasy,7.0, (691),2h 15m
85. Chantal in Fairyland,Fantasy,4.6, (2.5K),1h 58m
86. Ghost Cat Anzu,Fantasy,6.5, (648),1h 37m
87. Alienoid: The Return to the Future,Fantasy,6.5, (2.5K),2h 2m
88. The Night Before Christmas in Wonderland,Fantasy,6.3, (506),1h 20m
89. Ryan's World the Movie: Titan Universe Adventure,Fantasy,1.8, (625),1h 20m
90. Snatched a Billionaire to Be My Husband,Fantasy,7.6, (646),1h 10m
91. Robin and the Hoods,Fantasy,4.4, (503),1h 40m
92. Thangalaan,Fantasy,6.6, (6.5K),2h 36m
93. Man and Witch: The Dance of a Thousand Steps,Fantasy,5.6, (319),1h 34m
94. Kanguva,Fantasy,4.6, (14K),2h 32m
95. A.R.M,Fantasy,7.1, (8.5K),2h 30m
96. The Witch: Revenge,Fantasy,5.3, (763),1h 40m
97. Witch,Fantasy,5.1, (1.4K),1h 47m
98. The Magician's Raincoat,Fantasy,5.5, (77),N/A
99. Super-Charlie,Fantasy,6.4, (102),1h 20m
