Title,Genre,Rating,Votes,Duration
1. I'm Still Here,History,8.5, (89K),2h 17m
2. The Apprentice,History,7.1, (48K),2h 2m
3. September 5,History,7.1, (19K),1h 35m
4. William Tell,History,5.8, (1.3K),2h 13m
5. Saturday Night,History,6.9, (28K),1h 49m
6. The Girl with the Needle,History,7.5, (11K),2h 3m
7. The Six Triple Eight,History,6.7, (25K),2h 7m
8. The Count of Monte-Cristo,History,7.6, (32K),2h 58m
9. Small Things Like These,History,6.8, (20K),1h 38m
10. Queer,History,6.5, (17K),2h 17m
11. The Return,History,6.2, (7.2K),1h 56m
12. Reagan,History,6.2, (11K),2h 21m
13. Unfrosted,History,5.5, (34K),1h 37m
14. Blitz,History,6.2, (15K),2h
15. Bonhoeffer: Pastor. Spy. Assassin.,History,6.3, (3.3K),2h 13m
16. Vermiglio,History,6.9, (3.4K),1h 59m
17. 11 Rebels,History,6.1, (218),2h 35m
18. The Children's Train,History,7.4, (6.6K),1h 46m
19. Joy,History,7.1, (8.8K),1h 55m
20. The Devil's Bath,History,6.6, (5.7K),2h 1m
21. Waves,History,8.2, (1.4K),2h 11m
22. Chhava,History,8.6, (2.2K),51m
23. Harbin,History,6.6, (461),1h 48m
24. Uprising,History,6.6, (5.3K),2h 6m
25. Grand Tour,History,6.5, (1.4K),2h 8m
26. Escape from Germany,History,5.4, (882),1h 37m
27. Maharaj,History,6.5, (15K),2h 11m
28. The New Year That Never Came,History,8.2, (4.8K),2h 18m
29. Seize Them!,History,5.1, (1.1K),1h 31m
30. Goebbels and the Führer,History,6.7, (1.9K),2h 15m
31. Being Maria,History,6.1, (513),1h 40m
32. In Her Place,History,6.2, (1.4K),1h 36m
33. No Chains No Masters,History,6.5, (469),1h 38m
34. Golden Kamuy,History,6.3, (2.5K),2h 7m
"35. From Hilde, with Love",History,7.0, (707),2h 5m
36. Harvest,History,6.0, (314),2h 11m
37. Shivrayancha Chhava,History,7.1, (397),1h 20m
38. Shirley,History,6.2, (3.2K),1h 57m
39. Limonov: The Ballad of Eddie,History,6.0, (720),2h 18m
40. Maidaan,History,7.9, (22K),3h 1m
41. Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,History,8.2, (639),2h 54m
42. The Flood,History,6.6, (166),1h 41m
43. Before Dawn,History,5.4, (919),1h 41m
44. Quisling: The Final Days,History,7.1, (1K),2h 26m
45. Bibi Rajni,History,8.6, (706),2h 23m
46. Witches,History,7.4, (1.1K),1h 30m
47. Operation Undead,History,4.6, (343),1h 50m
48. Razakar: The Silent Genocide of Hyderabad,History,7.4, (5.2K),2h 46m
"49. Love, Courage and the Battle of Bushy Run",History,5.1, (167),1h 53m
50. The Damned,History,5.3, (782),1h 29m
51. Kingdom 4: Return of the Great General,History,7.1, (1.2K),2h 25m
52. Now or Never!,History,2.0, (17K),N/A
53. The Last Front,History,5.5, (595),1h 38m
54. The Ballad of Davy Crockett,History,4.6, (242),1h 36m
55. Chandu Champion,History,7.8, (34K),2h 22m
56. Thangalaan,History,6.6, (6.5K),2h 36m
57. Gloria!,History,6.6, (949),1h 46m
58. Einstein and the Bomb,History,6.2, (4K),1h 16m
59. Something to Stand for with Mike Rowe,History,8.7, (279),1h 36m
60. Six Days in August,History,6.1, (116),2h
61. Intoxicated by Love,History,8.5, (12K),1h 58m
62. Witch,History,5.1, (1.4K),1h 47m
63. Housewife of the Year,History,7.9, (41),1h 21m
64. Color of Victory,History,6.1, (40K),2h 37m
65. Simona Kossak,History,6.1, (258),1h 40m
66. Never Alone,History,7.2, (397),1h 25m
67. Greenwood Rising: The Rise of Black Wall Street,History,7.2, (87),N/A
68. The Great Ambition,History,7.2, (650),2h 3m
69. The Commandant's Shadow,History,7.3, (1K),1h 43m
70. The Volunteers: The Battle of Life and Death,History,6.2, (212),2h 24m
71. Battlefield,History,6.2, (624),1h 44m
