Title,Genre,Rating,Votes,Duration
1. The Substance,Horror,7.3, (274K),2h 21m
2. Nosferatu,Horror,7.3, (174K),2h 12m
3. Heretic,Horror,7.0, (114K),1h 51m
4. Presence,Horror,6.2, (15K),1h 24m
5. Longlegs,Horror,6.6, (176K),1h 41m
6. Alien: Romulus,Horror,7.1, (236K),1h 59m
7. Smile 2,Horror,6.7, (95K),2h 7m
8. MaXXXine,Horror,6.3, (67K),1h 43m
9. Speak No Evil,Horror,6.8, (91K),1h 50m
10. Abigail,Horror,6.6, (94K),1h 49m
11. The Watchers,Horror,5.7, (55K),1h 42m
12. The Crow,Horror,4.7, (32K),1h 51m
13. Kinds of Kindness,Horror,6.5, (57K),2h 44m
14. Beetlejuice Beetlejuice,Horror,6.7, (142K),1h 45m
15. Trap,Horror,5.8, (127K),1h 45m
16. Terrifier 3,Horror,6.3, (47K),2h 5m
17. The Rule of Jenny Pen,Horror,6.5, (471),1h 44m
18. Night of the Zoopocalypse,Horror,6.2, (263),1h 31m
19. Hellboy: The Crooked Man,Horror,4.5, (12K),1h 39m
20. Oddity,Horror,6.7, (40K),1h 38m
21. Nightbitch,Horror,5.6, (18K),1h 39m
22. A Quiet Place: Day One,Horror,6.3, (144K),1h 39m
23. Cuckoo,Horror,5.7, (25K),1h 42m
24. I Saw the TV Glow,Horror,5.8, (34K),1h 40m
25. Things Will Be Different,Horror,5.2, (2.2K),1h 42m
26. Immaculate,Horror,5.8, (51K),1h 29m
27. Don't Move,Horror,5.8, (37K),1h 32m
28. Azrael,Horror,5.4, (10K),1h 26m
29. In a Violent Nature,Horror,5.6, (25K),1h 34m
30. The First Omen,Horror,6.5, (63K),1h 59m
31. Arcadian,Horror,5.5, (22K),1h 32m
32. Werewolves,Horror,4.4, (5.9K),1h 33m
33. Grafted,Horror,5.6, (1.9K),1h 36m
34. The Front Room,Horror,4.6, (5.1K),1h 34m
35. Get Away,Horror,5.3, (6K),1h 26m
36. Rumours,Horror,5.0, (4.1K),1h 44m
37. Salem's Lot,Horror,5.6, (33K),1h 54m
38. Apartment 7A,Horror,5.8, (16K),1h 47m
39. Blackwater Lane,Horror,4.5, (1.7K),1h 48m
40. Your Monster,Horror,6.4, (5.3K),1h 43m
41. Y2K,Horror,4.9, (9.6K),1h 31m
42. The Shrouds,Horror,5.8, (691),1h 59m
43. Apocalypse Z: The Beginning of the End,Horror,6.1, (19K),1h 57m
44. Time Cut,Horror,5.0, (18K),1h 31m
45. The Damned,Horror,5.7, (3.5K),1h 29m
46. The Strangers: Chapter 1,Horror,4.6, (22K),1h 31m
47. Bagman,Horror,4.6, (4.3K),1h 33m
48. The Deliverance,Horror,5.1, (22K),1h 52m
49. Tarot,Horror,4.8, (31K),1h 32m
50. Never Let Go,Horror,5.4, (13K),1h 41m
51. Exhuma,Horror,6.9, (22K),2h 14m
52. Little Bites,Horror,4.6, (1.1K),1h 45m
53. MadS,Horror,6.4, (6.8K),1h 29m
54. Bramayugam,Horror,7.8, (14K),2h 19m
55. Winnie-the-Pooh: Blood and Honey 2,Horror,4.7, (11K),1h 33m
56. Lisa Frankenstein,Horror,6.1, (28K),1h 41m
57. Sumala,Horror,5.8, (728),1h 52m
58. Die Alone,Horror,5.7, (2.5K),1h 31m
59. Under Paris,Horror,5.2, (36K),1h 44m
60. Outbreak,Horror,4.5, (784),1h 28m
61. Afraid,Horror,5.2, (13K),1h 24m
62. Stream,Horror,5.6, (6.4K),2h 3m
63. The Dead Thing,Horror,4.8, (763),1h 34m
64. The Inheritance,Horror,4.7, (2.8K),1h 25m
65. Stree 2: Sarkate Ka Aatank,Horror,6.9, (41K),2h 27m
66. The Mouse Trap,Horror,2.5, (3K),1h 20m
67. Lembayung,Horror,6.1, (641),2h 3m
68. The Platform 2,Horror,4.9, (39K),1h 39m
69. Humane,Horror,5.5, (7K),1h 33m
70. Love Me Dead,Horror,6.5, (31),1h 27m
71. The Devil's Bath,Horror,6.6, (5.7K),2h 1m
72. Something in the Water,Horror,4.1, (4.5K),1h 26m
73. Death Whisperer 2,Horror,6.4, (1.2K),1h 50m
74. Sting,Horror,5.7, (16K),1h 31m
75. Succubus,Horror,4.6, (1.1K),1h 43m
76. Night Swim,Horror,4.7, (27K),1h 38m
