Title,Genre,Rating,Votes,Duration
1. A Complete Unknown,Music,7.4, (55K),2h 21m
2. Better Man,Music,7.6, (21K),2h 15m
3. Maria,Music,6.4, (18K),2h 4m
4. Kneecap,Music,7.6, (16K),1h 45m
5. Soundtrack to a Coup d'Etat,Music,7.7, (2.4K),2h 30m
6. Descendants: The Rise of Red,Music,4.7, (6.8K),1h 31m
7. Back to Black,Music,6.3, (26K),2h 2m
8. Elton John: Never Too Late,Music,6.5, (1.8K),1h 42m
9. Find Me Falling,Music,6.3, (12K),1h 33m
10. Bob Marley: One Love,Music,6.2, (34K),1h 47m
11. The Piano Lesson,Music,6.2, (4.7K),2h 7m
12. Monsieur Aznavour,Music,7.3, (2K),2h 13m
13. Standing on the Shoulders of Kitties,Music,6.3, (481),1h 51m
14. The Greatest Hits,Music,6.2, (7.2K),1h 34m
15. Midas Man,Music,6.4, (1.4K),1h 52m
16. This Is Me... Now,Music,4.1, (7K),1h 5m
17. GHOST: Rite Here Rite Now,Music,8.6, (1.9K),2h 25m
18. Doraemon the Movie: Nobita's Earth Symphony,Music,6.6, (1.4K),1h 55m
19. Avicii - I'm Tim,Music,7.8, (6.5K),1h 35m
20. Yacht Rock: A Dockumentary,Music,7.6, (1.7K),1h 35m
21. Pavements,Music,7.1, (145),2h 8m
22. Becoming Madonna,Music,7.0, (146),1h 31m
23. Boléro,Music,6.6, (724),2h
24. The Greatest Night in Pop,Music,7.9, (15K),1h 36m
25. Luther: Never Too Much,Music,8.3, (739),1h 41m
26. Stelios,Music,7.3, (1.4K),2h 12m
27. The Colors Within,Music,7.2, (777),1h 41m
28. Music by John Williams,Music,8.2, (4.6K),1h 45m
29. Andrea Bocelli 30: The Celebration,Music,8.2, (141),2h 28m
30. Beatles '64,Music,7.2, (2.4K),1h 46m
31. Música,Music,6.4, (4.9K),1h 31m
32. Gloria!,Music,6.6, (949),1h 46m
33. I Am: Celine Dion,Music,7.7, (7.8K),1h 43m
34. Diane Warren: Relentless,Music,7.3, (51),1h 31m
35. IVE: The 1st World Tour in Cinema,Music,7.6, (48),1h 51m
36. Amar Singh Chamkila,Music,7.8, (16K),2h 25m
37. The Extraordinary Miss Flower,Music,7.4, (20),1h 13m
38. Diddy: Summit to Plummet,Music,2.3, (196),1h
39. Saturn Return,Music,6.5, (1.2K),1h 49m
"40. Disco, Ibiza, Locomia",Music,6.0, (1.5K),1h 44m
41. Tears of Cem Karaca,Music,7.2, (1.9K),2h 3m
42. Deaner '89,Music,5.9, (407),1h 30m
43. The Beach Boys,Music,7.1, (2.1K),1h 53m
44. If Jack Reacher Could Sing,Music,7.2, (9),31m
45. American Dream: The 21 Savage Story,Music,N/A,N/A,N/A
46. Singing in My Sleep,Music,5.5, (86),1h 32m
47. Return of the King: The Fall and Rise of Elvis Presley,Music,7.6, (1.9K),1h 30m
48. Beautiful Rebel,Music,6.3, (971),1h 52m
49. Ol' Dirty Bastard: A Tale of Two Dirtys,Music,6.7, (190),N/A
50. The Neon Highway,Music,6.0, (482),1h 53m
51. Technoboys,Music,5.2, (957),1h 49m
52. Eno,Music,7.9, (288),1h 25m
53. Peaches Goes Bananas,Music,6.3, (27),1h 13m
54. Off the Record,Music,N/A,N/A,1h 35m
55. Jung Kook: I Am Still,Music,8.2, (7.5K),1h 30m
56. Bocchi the Rock! Re:,Music,7.5, (139),1h 30m
57. The Driver Era: Live at the Greek,Music,8.5, (9),N/A
58. No Cap,Music,5.8, (30),1h 48m
59. La guitarra flamenca de Yerai Cortés,Music,7.3, (209),1h 35m
60. Blur: To the End,Music,7.2, (625),1h 44m
61. K3 en Het Lied van de Zeemeermin,Music,6.2, (45),1h 44m
"62. RM: Right People, Wrong Place",Music,8.2, (384),1h 20m
63. Levoton Tuhkimo,Music,6.4, (402),1h 28m
64. Zim Zim Ala Kazim,Music,3.5, (105),1h 40m
65. ZEF: The Story of Die Antwoord,Music,7.4, (765),1h 30m
66. Devo,Music,7.3, (81),1h 30m
67. Gaga Chromatica Ball,Music,8.1, (2K),1h 57m
"68. Düsseldorf, Skåne",Music,5.3, (315),1h 34m
69. Stevie Van Zandt: Disciple,Music,7.9, (653),2h 27m
70. Bocchi the Rock! Re: Re:,Music,7.9, (86),1h 17m
71. Fidil Ghorm,Music,7.8, (7),1h 26m
72. Hov1 4-ever,Music,6.4, (73),1h 32m
73. Andhagan,Music,6.7, (1.2K),2h 22m
74. Janis Ian: Breaking Silence,Music,8.5, (29),1h 54m
75. Do I Shock U Like Lightning,Music,9.1, (17),1h 37m
76. Blackpink: World Tour - Born Pink,Music,7.7, (267),1h 33m
77. Larger Than Life: Reign of the Boybands,Music,6.8, (239),1h 35m
78. Mogwai: If the Stars Had a Sound,Music,7.8, (52),1h 32m
79. Harta Tahta Raisa,Music,4.0, (70),1h 50m
80. Teaches of Peaches,Music,7.0, (252),1h 42m
81. Nova & Alice,Music,6.1, (190),1h 50m
82. Hyper: The Stevie Hyper D Story,Music,8.8, (29),1h 31m
83. The Sound of Hope,Music,9.2, (17),N/A
84. Any Other Way: The Jackie Shane Story,Music,8.5, (56),1h 38m
85. ABBA: Against the Odds,Music,7.4, (396),1h 30m
86. Glenn Fredly: The Movie,Music,6.8, (121),2h 1m
87. The Best of Me,Music,N/A,N/A,1h 29m
88. For the One,Music,8.8, (28),N/A
89. SUGA: Agust D Tour 'D-DAY' the Movie,Music,8.1, (1.2K),1h 24m
90. Art of a Hit,Music,4.2, (209),1h 33m
"91. Iki Gözüm Ahmet, Sürgün",Music,3.8, (137),1h 53m
92. Bach - Ein Weihnachtswunder,Music,6.2, (166),1h 29m
93. Seventeen Tour 'Follow' Again to Cinemas,Music,8.2, (97),1h 43m
94. Bloody Bridget,Music,7.1, (53),1h 21m
95. A Fragile Flower,Music,8.6, (1.6K),1h 36m
96. It's All Gonna Break,Music,8.0, (13),N/A
