Title,Genre,Rating,Votes,Duration
1. Emilia Pérez,Musical,5.4, (82K),2h 12m
2. Wicked,Musical,7.5, (139K),2h 40m
3. Mufasa: The Lion King,Musical,6.6, (46K),1h 58m
4. Better Man,Musical,7.6, (21K),2h 15m
5. Moana 2,Musical,6.8, (81K),1h 40m
6. Spermageddon,Musical,5.7, (533),1h 20m
7. Joker: Folie à Deux,Musical,5.2, (156K),2h 18m
8. Mean Girls,Musical,5.6, (37K),1h 52m
9. Descendants: The Rise of Red,Musical,4.7, (6.8K),1h 31m
10. Spellbound,Musical,5.7, (6.2K),1h 49m
11. The End,Musical,5.5, (1.5K),2h 28m
12. Piece by Piece,Musical,6.9, (5K),1h 33m
13. This Is Me... Now,Musical,4.1, (7K),1h 5m
14. Thelma the Unicorn,Musical,5.7, (2.8K),1h 33m
15. The Merry Gentlemen,Musical,4.8, (10K),1h 27m
16. The Deb,Musical,7.6, (67),2h 1m
17. How Could I Live Without You?,Musical,6.9, (899),1h 45m
18. The Night Before Christmas in Wonderland,Musical,6.3, (506),1h 20m
19. Fox & Hare Save the Forest,Musical,5.9, (187),1h 11m
20. Noah's Ark,Musical,4.3, (621),1h 36m
21. Dans la cuisine des Nguyen,Musical,7.5, (51),1h 39m
22. Victory,Musical,6.4, (209),2h
23. Girl from the North Country,Musical,7.8, (11),2h 32m
24. Polvo serán,Musical,6.7, (274),1h 46m
25. Chainsaws Were Singing,Musical,7.2, (340),1h 57m
26. Bonnie and Clyde: The Musical,Musical,7.6, (83),2h 30m
27. The Opera!,Musical,5.7, (22),1h 46m
28. Queens of Drama,Musical,6.4, (170),1h 54m
29. KorimDick,Musical,10, (6),21m
30. Gaga Chromatica Ball,Musical,8.1, (2K),1h 57m
31. Trapezium,Musical,6.4, (122),1h 42m
32. Hov1 4-ever,Musical,6.4, (73),1h 32m
33. Dongeng Sang Kancil,Musical,8.1, (75),1h 39m
34. Petta Rap,Musical,4.2, (1.7K),2h 3m
35. Varshangalkku Shesham,Musical,6.6, (4.1K),2h 46m
36. O Melhor Amigo,Musical,7.8, (16),1h 36m
37. Isang himala,Musical,7.4, (22),2h 25m
38. First Nights at Freddy's,Musical,9.2, (13),1h 38m
39. Sisters and Neighbors!,Musical,6.5, (180),1h 45m
40. Captain Avispa,Musical,5.8, (170),1h 36m
41. Carol,Musical,8.3, (47),1h 55m
42. Kajolrekha,Musical,6.3, (169),2h 36m
43. Shannon Matthews the Musical the Movie,Musical,8.0, (176),1h 31m
44. Maria Callas,Musical,N/A,N/A,1h
45. Shahid,Musical,6.5, (79),1h 24m
"46. Kiss Me, Kate: The Musical",Musical,7.7, (26),2h 41m
47. Eating Me Up,Musical,8.6, (289),1h 44m
48. Bring on the Damned!,Musical,N/A,N/A,1h 54m
49. DJ Marwar,Musical,6.8, (21),N/A
50. Magic,Musical,N/A,N/A,N/A
