Title,Genre,Rating,Votes,Duration
1. Nosferatu,Mystery,7.3, (175K),N/A
2. Blink Twice,Mystery,6.5, (99K),N/A
3. Paddington in Peru,Mystery,6.7, (16K),N/A
4. Juror #2,Mystery,7.0, (90K),N/A
5. Smile 2,Mystery,6.7, (96K),N/A
6. The Watchers,Mystery,5.7, (55K),N/A
7. Trap,Mystery,5.8, (128K),N/A
8. F*** Marry Kill,Mystery,5.2, (1.5K),N/A
9. The Rule of Jenny Pen,Mystery,6.5, (514),N/A
10. Red One,Mystery,6.3, (137K),N/A
11. Caddo Lake,Mystery,6.8, (40K),N/A
12. Hellboy: The Crooked Man,Mystery,4.5, (12K),N/A
13. It's What's Inside,Mystery,6.6, (40K),N/A
14. Cuckoo,Mystery,5.7, (25K),N/A
15. Love Lies Bleeding,Mystery,6.6, (55K),N/A
16. Absolution,Mystery,5.2, (7.3K),N/A
17. Sleeping Dogs,Mystery,6.2, (21K),N/A
18. The Instigators,Mystery,6.2, (37K),N/A
19. Blackwater Lane,Mystery,4.6, (1.7K),N/A
20. Killer Heat,Mystery,5.6, (13K),N/A
21. Time Cut,Mystery,5.0, (18K),N/A
22. The Damned,Mystery,5.7, (3.6K),N/A
23. Watchmen: Chapter I,Mystery,7.0, (6.2K),N/A
24. Long Gone Heroes,Mystery,5.2, (936),N/A
25. Exhuma,Mystery,6.9, (22K),N/A
26. Die Alone,Mystery,5.7, (2.5K),N/A
27. Monster Summer,Mystery,5.7, (3.4K),N/A
28. Outbreak,Mystery,4.5, (788),N/A
29. Afraid,Mystery,5.2, (13K),N/A
30. The Dead Thing,Mystery,4.8, (769),N/A
31. Boneyard,Mystery,4.1, (4.8K),N/A
32. Watchmen: Chapter II,Mystery,7.0, (2.7K),N/A
33. Night Swim,Mystery,4.7, (27K),N/A
34. The Lost Daughter,Mystery,5.9, (272),N/A
35. Damaged,Mystery,4.7, (7.1K),N/A
36. Kishkindha Kaandam,Mystery,8.0, (11K),N/A
37. Imaginary,Mystery,4.7, (17K),N/A
38. Orion and the Dark,Mystery,6.3, (17K),N/A
39. The Girl in the Pool,Mystery,4.3, (1.4K),N/A
40. Force of Nature: The Dry 2,Mystery,5.9, (6.6K),N/A
41. A Sacrifice,Mystery,5.1, (5K),N/A
42. The Soul Eater,Mystery,5.9, (2.4K),N/A
43. The Best Christmas Pageant Ever,Mystery,6.8, (6K),N/A
44. The Sand Castle,Mystery,4.7, (1.6K),N/A
45. Sookshma Darshini,Mystery,7.8, (9.3K),N/A
46. Turtles All the Way Down,Mystery,6.6, (6.8K),N/A
47. Colors of Evil: Red,Mystery,6.4, (8.3K),N/A
48. Strictly Confidential,Mystery,2.8, (824),N/A
49. Reunion,Mystery,5.6, (3.4K),N/A
50. Drugstore June,Mystery,5.3, (1.6K),N/A
51. Depravity,Mystery,4.3, (897),N/A
52. Pedro Páramo,Mystery,6.3, (2.8K),N/A
53. Sikandar Ka Muqaddar,Mystery,6.0, (24K),N/A
54. Drive Back,Mystery,4.7, (285),N/A
55. Skincare,Mystery,5.7, (4.1K),N/A
56. Badland Hunters,Mystery,5.9, (12K),N/A
57. Do Patti,Mystery,6.4, (68K),N/A
58. Handling the Undead,Mystery,5.4, (4.2K),N/A
59. The Price of Money: A Largo Winch Adventure,Mystery,5.0, (1K),N/A
60. Cellphone,Mystery,3.0, (690),N/A
61. The Image of You,Mystery,4.6, (790),N/A
62. Bougainvillea,Mystery,6.4, (2.9K),N/A
63. Desert Fiends,Mystery,8.5, (359),N/A
64. The Tiger's Apprentice,Mystery,5.8, (2.1K),N/A
65. Karma,Mystery,8.1, (1.4K),N/A
66. City Hunter,Mystery,6.3, (5.5K),N/A
67. Cult Killer,Mystery,4.8, (2.7K),N/A
68. Believer,Mystery,4.5, (354),N/A
69. Golam,Mystery,7.2, (5.4K),N/A
70. A Place Called Silence,Mystery,6.5, (1.2K),N/A
71. Hidden Face,Mystery,6.2, (458),N/A
72. Cinderella's Revenge,Mystery,3.7, (1K),N/A
73. Crescent City,Mystery,3.9, (1.3K),N/A
74. Inheritance,Mystery,5.1, (3.4K),N/A
75. Cinderella's Curse,Mystery,3.3, (1.3K),N/A
76. Rippy,Mystery,4.1, (811),N/A
77. Dan Da Dan: First Encounter,Mystery,8.2, (2.5K),N/A
78. The American Backyard,Mystery,6.2, (118),N/A
79. Witchboard,Mystery,7.6, (86),N/A
80. #AMFAD: All My Friends Are Dead,Mystery,4.5, (1.2K),N/A
81. Mr. K,Mystery,6.2, (346),N/A
82. American Star,Mystery,5.5, (2.4K),N/A
83. The Hangman,Mystery,3.3, (982),N/A
84. Gaami,Mystery,6.4, (2K),N/A
85. Mononoke the Movie: The Phantom in the Rain,Mystery,6.7, (1.1K),N/A
86. Compulsion,Mystery,N/A,N/A,N/A
87. Bloodline Killer,Mystery,3.8, (4.4K),N/A
88. Dark Night of the Soul,Mystery,3.4, (156),N/A
89. Arcadia,Mystery,6.9, (428),N/A
90. Revolver,Mystery,5.4, (813),N/A
91. The Monster Beneath Us,Mystery,5.9, (401),N/A
92. Held Hostage in My House,Mystery,5.2, (116),N/A
93. Perewangan,Mystery,6.2, (86),N/A
94. Rakshana,Mystery,5.6, (1.1K),N/A
95. Saint Clare,Mystery,7.6, (87),N/A
96. Thalavan,Mystery,7.2, (4.4K),N/A
97. Heresy,Mystery,6.9, (263),N/A
98. Black,Mystery,7.1, (2.7K),N/A
99. Anweshippin Kandethum,Mystery,7.4, (10K),N/A
100. What Happened to Suzy,Mystery,6.7, (54),N/A
101. Memes & Nightmares,Mystery,5.7, (69),N/A
102. Chaalchitro: The Frame Fatale,Mystery,6.4, (759),N/A
103. About a Hero,Mystery,6.5, (31),N/A
104. ClearMind,Mystery,4.1, (2.2K),N/A
105. Seeds,Mystery,6.7, (55),N/A
106. The Manifestation,Mystery,3.6, (177),N/A
107. Stupid Games,Mystery,4.2, (363),N/A
108. Murder Mubarak,Mystery,5.8, (51K),N/A
109. Go Away,Mystery,4.3, (167),N/A
110. Triumph,Mystery,6.4, (104),N/A
111. From Darkness,Mystery,5.0, (542),N/A
112. Bone Lake,Mystery,6.9, (41),N/A
113. Merry Christmas,Mystery,6.9, (30K),N/A
114. They Called Him Mostly Harmless,Mystery,5.9, (3.2K),N/A
115. Killer Body Count,Mystery,4.7, (627),N/A
116. Deadly Invitations,Mystery,4.2, (177),N/A
117. Salawahan,Mystery,4.3, (193),N/A
118. Amp House Massacre,Mystery,3.9, (163),N/A
119. Agastya - Chapter 1,Mystery,6.9, (573),N/A
120. Following,Mystery,6.4, (1.2K),N/A
121. Horror in the High Desert 3: Firewatch,Mystery,5.4, (690),N/A
122. Phir Aayi Hasseen Dillruba,Mystery,5.8, (6.7K),N/A
123. The Private Eye,Mystery,3.8, (122),N/A
124. In Our Blood,Mystery,6.8, (44),N/A
125. Gazer,Mystery,6.4, (96),N/A
126. Shigatsu ni nareba kanojo wa,Mystery,6.2, (413),N/A
127. The Yin Yang Master Zero,Mystery,5.7, (254),N/A
128. Solvent,Mystery,7.6, (381),N/A
129. Bhoothaddam Bhaskar Narayana,Mystery,6.3, (259),N/A
130. Chapel,Mystery,3.3, (169),N/A
131. Borderless Fog,Mystery,5.2, (1.3K),N/A
132. Its Name Was Mormo,Mystery,4.7, (109),N/A
133. Algiers,Mystery,7.9, (44),N/A
134. Brief History of a Family,Mystery,6.7, (394),N/A
135. The Backrooms,Mystery,N/A,N/A,N/A
136. The Redemption of Sin,Mystery,N/A, (49),N/A
137. 10 Days of a Curious Man,Mystery,5.8, (1.2K),N/A
138. Rautu Ka Raaz,Mystery,6.3, (1.9K),N/A
139. Hunting Matthew Nichols,Mystery,9.0, (44),N/A
140. Dancing Village: The Curse Begins,Mystery,5.7, (4.1K),N/A
141. Paranoia,Mystery,4.1, (350),N/A
142. Haze,Mystery,7.0, (42),N/A
143. Abraham Ozler,Mystery,6.5, (4.1K),N/A
144. Karma's a Bitch,Mystery,5.0, (29),N/A
145. The Stalking,Mystery,4.8, (28),N/A
146. Last Stop: Rocafort St.,Mystery,4.1, (438),N/A
147. Sheriff,Mystery,6.9, (1.1K),N/A
148. Portraits,Mystery,4.9, (42),N/A
149. Glass Casa,Mystery,8.0, (41),N/A
150. Doctor X: The Movie,Mystery,7.7, (43),N/A
151. Dirty Boy,Mystery,8.2, (17),N/A
152. 9 Windows,Mystery,3.6, (299),N/A
153. Karina,Mystery,6.9, (16),N/A
154. Drive,Mystery,5.6, (308),N/A
155. Murder and Cocktails,Mystery,4.0, (355),N/A
156. Vina: Before 7 Days,Mystery,5.3, (564),N/A
157. Simbaa,Mystery,5.9, (2.2K),N/A
158. Campton Manor,Mystery,3.4, (217),N/A
159. Transamazonia,Mystery,6.2, (58),N/A
160. Daft State,Mystery,6.4, (40),N/A
161. You Are Not Alone,Mystery,6.2, (60),N/A
162. Ten Toes Down,Mystery,8.0, (31),N/A
163. Killer Influence,Mystery,2.8, (249),N/A
164. Kurukku,Mystery,6.6, (529),N/A
165. Kizumonogatari: Koyomi Vamp,Mystery,6.9, (79),N/A
166. Hunting Daze,Mystery,6.1, (449),N/A
167. Zim Zim Ala Kazim,Mystery,3.5, (105),N/A
