Title,Genre,Rating,Votes,Duration
1. Anora,Romance,7.6, (138K),2h 19m
2. Wicked,Romance,7.5, (139K),2h 40m
3. Babygirl,Romance,6.0, (46K),1h 54m
4. It Ends with Us,Romance,6.4, (80K),2h 10m
5. We Live in Time,Romance,7.0, (47K),1h 48m
6. Challengers,Romance,7.1, (150K),2h 11m
7. The Count of Monte-Cristo,Romance,7.6, (32K),2h 58m
8. Queer,Romance,6.5, (17K),2h 17m
9. The Crow,Romance,4.7, (32K),1h 51m
10. The Fall Guy,Romance,6.8, (215K),2h 6m
11. F*** Marry Kill,Romance,5.2, (1.5K),1h 37m
12. My Old Ass,Romance,6.9, (37K),1h 29m
13. Fly Me to the Moon,Romance,6.6, (48K),2h 12m
14. The Idea of You,Romance,6.3, (71K),1h 55m
15. Love Lies Bleeding,Romance,6.6, (55K),1h 44m
16. All We Imagine as Light,Romance,7.1, (8.5K),1h 58m
17. Culpa Tuya,Romance,5.2, (12K),1h 58m
18. Emmanuelle,Romance,4.2, (1.4K),1h 47m
19. A Family Affair,Romance,5.3, (36K),1h 51m
20. Sidelined: The QB and Me,Romance,5.9, (3.4K),1h 39m
21. Someone Like You,Romance,5.8, (2K),1h 58m
22. Grafted,Romance,5.6, (1.9K),1h 36m
23. Beating Hearts,Romance,7.1, (3.9K),2h 46m
24. Lick,Romance,6.3, (690),1h 15m
25. Your Monster,Romance,6.4, (5.3K),1h 43m
26. Mon Potongo,Romance,6.1, (109),2h 29m
27. Killer Heat,Romance,5.6, (13K),1h 37m
28. We're All Gonna Die,Romance,8.3, (68),1h 50m
29. Love Me,Romance,5.2, (2.1K),1h 31m
30. Boot Camp,Romance,5.8, (988),1h 34m
31. Young Woman and the Sea,Romance,7.5, (16K),2h 9m
32. La Cocina,Romance,7.2, (2.2K),2h 19m
33. The Tearsmith,Romance,5.2, (12K),1h 43m
34. Lisa Frankenstein,Romance,6.1, (28K),1h 41m
35. Lonely Planet,Romance,5.7, (11K),1h 34m
36. Die Alone,Romance,5.7, (2.5K),1h 31m
37. Upgraded,Romance,6.1, (29K),1h 44m
38. Mother of the Bride,Romance,4.8, (17K),1h 28m
39. Find Me Falling,Romance,6.3, (12K),1h 33m
40. A Nice Indian Boy,Romance,7.1, (138),1h 36m
41. The Dead Thing,Romance,4.8, (763),1h 34m
42. Touch,Romance,7.4, (5.1K),2h 1m
43. Girl Haunts Boy,Romance,6.3, (2.8K),1h 40m
44. Winter Spring Summer or Fall,Romance,6.4, (357),1h 37m
45. Jane Austen Wrecked My Life,Romance,6.6, (142),1h 34m
46. Girls Will Be Girls,Romance,7.1, (2.2K),1h 58m
47. My Favourite Cake,Romance,7.4, (6.8K),1h 37m
48. Turn Me On,Romance,5.6, (407),1h 39m
49. Loveable,Romance,8.1, (1.2K),1h 41m
50. Players,Romance,5.7, (12K),1h 45m
51. Role Play,Romance,5.5, (19K),1h 40m
52. Irish Wish,Romance,5.2, (21K),1h 33m
53. The Best Christmas Pageant Ever,Romance,6.8, (6K),1h 39m
54. Our Little Secret,Romance,5.7, (23K),1h 41m
55. Gone Running,Romance,7.1, (3.7K),1h 45m
56. You Are the Apple of My Eye,Romance,7.8, (3.2K),1h 41m
57. Vulgar,Romance,6.8, (98),1h 43m
58. Beautiful Wedding,Romance,4.1, (4K),1h 40m
59. Grand Tour,Romance,6.5, (1.4K),2h 8m
60. Turtles All the Way Down,Romance,6.6, (6.8K),1h 51m
61. The Greatest Hits,Romance,6.2, (7.2K),1h 34m
62. The Silence of Marcos Tremmer,Romance,5.9, (110),1h 52m
63. Ask Me What You Want,Romance,3.6, (305),1h 54m
64. Darkest Miriam,Romance,6.9, (28),1h 27m
65. Pedro Páramo,Romance,6.3, (2.8K),2h 10m
66. Romance on the Ranch,Romance,6.8, (278),1h 28m
67. Love in the Big City,Romance,7.5, (1.3K),1h 58m
68. Hot Frosty,Romance,5.3, (14K),1h 32m
69. This Time Next Year,Romance,5.6, (2.1K),1h 56m
70. Through My Window: Looking at You,Romance,5.4, (5K),1h 45m
71. This Is Me... Now,Romance,4.1, (7K),1h 5m
72. Drained,Romance,4.6, (269),1h 47m
73. The Southern Chronicles,Romance,8.8, (2.3K),2h
74. Chosen Family,Romance,4.7, (236),1h 28m
75. How to Date Billy Walsh,Romance,5.2, (3.9K),1h 38m
76. The Merry Gentlemen,Romance,4.8, (10K),1h 27m
77. Swap,Romance,2.9, (321),1h 26m
78. Timestalker,Romance,5.5, (2.8K),1h 29m
79. Premalu,Romance,7.8, (19K),2h 36m
80. City Hunter,Romance,6.3, (5.5K),1h 42m
81. Sex,Romance,6.7, (841),2h 5m
82. Marmalade,Romance,6.2, (3.5K),1h 39m
83. High Tide,Romance,6.6, (467),1h 41m
84. Lilies Not for Me,Romance,7.9, (70),1h 39m
85. Wallbanger,Romance,5.6, (634),1h 58m
86. Take My Hand,Romance,6.3, (276),1h 42m
87. A True Gentleman,Romance,4.5, (2K),1h 50m
88. Five Blind Dates,Romance,5.1, (1.9K),1h 23m
89. The Astronaut Lovers,Romance,7.1, (539),1h 56m
90. The Family Star,Romance,5.4, (5.3K),2h 39m
91. Cinderella's Revenge,Romance,3.7, (1K),1h 25m
92. 18×2 Beyond Youthful Days,Romance,7.3, (1.8K),2h 3m
93. Young Werther,Romance,5.7, (194),1h 41m
94. Cinderella's Curse,Romance,3.3, (1.2K),1h 22m
95. Christmas Cowboy,Romance,6.7, (94),N/A
96. 5lbs of Pressure,Romance,5.3, (1.5K),1h 51m
97. Three Friends,Romance,6.6, (558),1h 57m
98. Freedom,Romance,5.9, (1.3K),1h 50m
99. Plan B,Romance,5.9, (1.1K),1h 30m
100. The Air He Breathes,Romance,6.4, (355),1h 46m
101. Qalb,Romance,6.6, (2.3K),2h 27m
102. Savi,Romance,6.2, (35K),2h 6m
103. Private Tutor,Romance,4.9, (180),1h 5m
104. Shrek 5: The Contract - A Fan Made Film,Romance,7.0, (17),1h 24m
105. Daniela Forever,Romance,6.3, (198),1h 53m
"106. Hello, Love, Again",Romance,6.8, (785),2h 2m
107. Her Story,Romance,7.7, (1.7K),2h 3m
108. My Name Is Loh Kiwan,Romance,6.7, (4.3K),2h 11m
109. Love Across Time,Romance,7.3, (375),N/A
110. Mr. Manhattan,Romance,6.8, (428),1h 50m
111. Two to One,Romance,6.1, (663),1h 56m
112. Langue Étrangère,Romance,6.7, (470),1h 41m
113. Love,Romance,7.3, (256),1h 59m
114. Ashes,Romance,4.3, (2.5K),1h 40m
115. Previously Saved Version,Romance,5.4, (392),1h 57m
116. From Contract Lover to the Billionaire's Bride,Romance,7.0, (483),1h 24m
