Title,Genre,Rating,Votes,Duration
1. The Substance,Sci-Fi,7.3, (275K),N/A
2. Dune: Part Two,Sci-Fi,8.5, (610K),N/A
3. Venom: The Last Dance,Sci-Fi,6.0, (105K),N/A
4. The Wild Robot,Sci-Fi,8.2, (149K),N/A
5. Sonic the Hedgehog 3,Sci-Fi,6.9, (51K),N/A
6. Furiosa: A Mad Max Saga,Sci-Fi,7.5, (278K),N/A
7. Elevation,Sci-Fi,5.6, (19K),N/A
8. Despicable Me 4,Sci-Fi,6.2, (62K),N/A
9. Borderlands,Sci-Fi,4.7, (44K),N/A
10. Deadpool & Wolverine,Sci-Fi,7.6, (477K),N/A
11. Alien: Romulus,Sci-Fi,7.1, (236K),N/A
12. Megalopolis,Sci-Fi,4.7, (34K),N/A
13. Subservience,Sci-Fi,5.4, (26K),N/A
14. Kingdom of the Planet of the Apes,Sci-Fi,6.9, (149K),N/A
15. Madame Web,Sci-Fi,4.0, (99K),N/A
16. Caddo Lake,Sci-Fi,6.8, (40K),N/A
17. Wallace & Gromit: Vengeance Most Fowl,Sci-Fi,7.5, (32K),N/A
18. It's What's Inside,Sci-Fi,6.6, (40K),N/A
19. Transformers One,Sci-Fi,7.6, (47K),N/A
20. A Quiet Place: Day One,Sci-Fi,6.3, (144K),N/A
21. The Day the Earth Blew Up: A Looney Tunes Movie,Sci-Fi,6.6, (955),N/A
22. Godzilla x Kong: The New Empire,Sci-Fi,6.1, (119K),N/A
23. Things Will Be Different,Sci-Fi,5.2, (2.2K),N/A
24. Ghostbusters: Frozen Empire,Sci-Fi,6.1, (92K),N/A
25. The Life of Chuck,Sci-Fi,7.8, (447),N/A
26. Spaceman,Sci-Fi,5.7, (42K),N/A
27. Uglies,Sci-Fi,4.7, (32K),N/A
28. Slingshot,Sci-Fi,5.7, (8.6K),N/A
29. Arcadian,Sci-Fi,5.5, (22K),N/A
30. The Assessment,Sci-Fi,7.2, (442),N/A
31. Distant,Sci-Fi,5.7, (2.9K),N/A
32. Y2K,Sci-Fi,4.9, (9.6K),N/A
33. The Shrouds,Sci-Fi,5.8, (694),N/A
34. Apocalypse Z: The Beginning of the End,Sci-Fi,6.1, (19K),N/A
35. Time Cut,Sci-Fi,5.0, (18K),N/A
36. Watchmen: Chapter I,Sci-Fi,7.0, (6.2K),N/A
37. Atlas,Sci-Fi,5.6, (55K),N/A
38. We're All Gonna Die,Sci-Fi,8.4, (69),N/A
39. Love Me,Sci-Fi,5.2, (2.1K),N/A
40. Kalki 2898 AD,Sci-Fi,7.0, (66K),N/A
41. Omni Loop,Sci-Fi,5.5, (2.6K),N/A
42. Survive,Sci-Fi,4.6, (2K),N/A
43. Rebel Moon - Part Two: The Scargiver,Sci-Fi,5.3, (59K),N/A
44. Die Alone,Sci-Fi,5.7, (2.5K),N/A
45. Afraid,Sci-Fi,5.2, (13K),N/A
46. The End,Sci-Fi,5.5, (1.5K),N/A
47. The Platform 2,Sci-Fi,4.9, (39K),N/A
48. Watchmen: Chapter II,Sci-Fi,7.0, (2.7K),N/A
49. Sting,Sci-Fi,5.7, (16K),N/A
50. Megamind vs. The Doom Syndicate,Sci-Fi,2.5, (5.4K),N/A
51. Turn Me On,Sci-Fi,5.6, (409),N/A
52. Breathe,Sci-Fi,4.3, (7K),N/A
53. The Empire,Sci-Fi,5.2, (1.2K),N/A
54. Moon Maidens 2,Sci-Fi,3.7, (24),N/A
55. V/H/S/Beyond,Sci-Fi,5.9, (9.1K),N/A
56. South of Hope Street,Sci-Fi,6.6, (1.3K),N/A
57. The Thinking Game,Sci-Fi,7.8, (85),N/A
