Title,Genre,Rating,Votes,Duration
1. Queen of the Ring,Sport,7.1, (602),2h 20m
2. Challengers,Sport,7.1, (150K),2h 11m
3. Unstoppable,Sport,6.8, (3.8K),1h 56m
4. Young Woman and the Sea,Sport,7.5, (16K),2h 9m
5. Arthur the King,Sport,7.0, (33K),1h 47m
6. Under Paris,Sport,5.2, (36K),1h 44m
7. You Gotta Believe,Sport,5.8, (1.2K),1h 44m
8. The Fire Inside,Sport,6.8, (2K),1h 49m
9. Rez Ball,Sport,6.3, (2.4K),1h 51m
10. Sweet Dreams,Sport,5.4, (1.4K),1h 35m
11. The Underdoggs,Sport,5.6, (4.5K),1h 36m
12. El Jockey,Sport,6.5, (1.5K),1h 36m
13. The Beautiful Game,Sport,6.3, (7.9K),2h 5m
14. Maidaan,Sport,7.9, (22K),3h 1m
15. My Sunshine,Sport,7.1, (1.3K),1h 40m
16. Race for Glory: Audi vs. Lancia,Sport,5.8, (4.6K),1h 49m
17. My Annoying Brother,Sport,7.5, (162),1h 54m
18. Sixty Minutes,Sport,5.7, (5.1K),1h 28m
19. The Tale of Texas Pool,Sport,8.2, (65),N/A
20. Haikyu!! The Dumpster Battle,Sport,7.7, (6K),1h 25m
21. Little Wing,Sport,6.1, (923),1h 40m
22. Lubber Pandhu,Sport,8.2, (5.8K),2h 26m
23. Uranus 2324,Sport,6.6, (4.7K),2h 10m
24. Chandu Champion,Sport,7.8, (34K),2h 22m
25. Boxer,Sport,6.4, (1.3K),2h 30m
26. Memes & Nightmares,Sport,5.8, (68),1h 21m
27. Gundi: Legend of Love,Sport,9.0, (5.4K),2h 46m
28. Blue Lock: Episode Nagi,Sport,6.6, (2.4K),1h 31m
29. Bionic,Sport,4.3, (1.7K),1h 50m
30. Ski,Sport,7.7, (59),1h 35m
31. Color of Victory,Sport,6.1, (40K),2h 37m
32. Yolo,Sport,6.9, (3.6K),2h 9m
33. Giannis: The Marvelous Journey,Sport,8.3, (1.7K),1h 49m
34. Balestra,Sport,5.1, (501),2h 25m
35. The Champion,Sport,5.5, (865),1h 46m
36. Crakk: Jeetega... Toh Jiyegaa,Sport,4.7, (6.4K),2h 34m
37. Samia,Sport,6.9, (119),1h 42m
38. Challenger,Sport,5.7, (137),1h 35m
39. Federer: Twelve Final Days,Sport,7.3, (4K),1h 28m
40. Mr. & Mrs. Mahi,Sport,5.9, (16K),2h 19m
41. The Swedish Torpedo,Sport,6.4, (130),2h
