Title,Genre,Rating,Votes,Duration
1. Emilia Pérez,Thriller,5.4, (82K),2h 12m
2. Conclave,Thriller,7.4, (126K),2h
3. Heretic,Thriller,7.0, (114K),1h 51m
4. Venom: The Last Dance,Thriller,6.0, (104K),1h 50m
5. Babygirl,Thriller,6.0, (46K),1h 54m
6. September 5,Thriller,7.1, (19K),1h 35m
7. Presence,Thriller,6.2, (15K),1h 24m
8. The Order,Thriller,6.8, (36K),1h 56m
9. Longlegs,Thriller,6.6, (176K),1h 41m
10. Kraven the Hunter,Thriller,5.4, (41K),2h 7m
11. Pushpa: The Rule - Part 2,Thriller,6.1, (53K),3h 21m
12. Furiosa: A Mad Max Saga,Thriller,7.5, (278K),2h 28m
13. Elevation,Thriller,5.6, (19K),1h 31m
14. Blink Twice,Thriller,6.5, (99K),1h 42m
15. The Surfer,Thriller,6.5, (576),1h 43m
16. Borderlands,Thriller,4.7, (44K),1h 41m
17. Eden,Thriller,6.1, (777),2h
18. Juror #2,Thriller,7.0, (90K),1h 54m
19. Alien: Romulus,Thriller,7.1, (236K),1h 59m
20. A Different Man,Thriller,6.9, (27K),1h 52m
21. Smile 2,Thriller,6.7, (95K),2h 7m
22. Subservience,Thriller,5.4, (26K),1h 46m
23. Civil War,Thriller,7.0, (231K),1h 49m
24. The Count of Monte-Cristo,Thriller,7.6, (32K),2h 58m
25. The Seed of the Sacred Fig,Thriller,7.6, (12K),2h 47m
26. Twisters,Thriller,6.5, (159K),2h 2m
27. Speak No Evil,Thriller,6.8, (91K),1h 50m
28. Abigail,Thriller,6.6, (94K),1h 49m
29. The Watchers,Thriller,5.7, (55K),1h 42m
30. Carry-On,Thriller,6.5, (158K),1h 59m
31. The Crow,Thriller,4.7, (32K),1h 51m
32. The Beekeeper,Thriller,6.3, (152K),1h 45m
33. Joker: Folie à Deux,Thriller,5.2, (156K),2h 18m
34. Trap,Thriller,5.8, (127K),1h 45m
35. Wolfs,Thriller,6.5, (78K),1h 48m
36. F*** Marry Kill,Thriller,5.2, (1.5K),1h 37m
37. Kingdom of the Planet of the Apes,Thriller,6.9, (149K),2h 25m
38. Madame Web,Thriller,4.0, (99K),1h 56m
39. The Rule of Jenny Pen,Thriller,6.5, (471),1h 44m
40. Homestead,Thriller,5.4, (3.2K),1h 52m
41. Rebel Ridge,Thriller,6.8, (85K),2h 11m
42. Dead Money,Thriller,5.8, (469),1h 40m
43. Caddo Lake,Thriller,6.8, (40K),1h 43m
44. Hellboy: The Crooked Man,Thriller,4.5, (12K),1h 39m
45. It's What's Inside,Thriller,6.6, (40K),1h 43m
46. Oddity,Thriller,6.7, (40K),1h 38m
