Title,Genre,Rating,Votes,Duration
1. William Tell,War,5.8, (1.3K),2h 13m
2. The Ministry of Ungentlemanly Warfare,War,6.8, (131K),2h 2m
3. The Six Triple Eight,War,6.7, (25K),2h 7m
4. My Dead Friend Zoe,War,7.3, (981),1h 43m
5. Nr. 24,War,7.5, (14K),1h 51m
6. Blitz,War,6.2, (15K),2h
7. Dirty Angels,War,4.3, (3K),1h 44m
8. Chhava,War,8.6, (2.2K),51m
9. Amaran,War,8.2, (18K),2h 47m
10. Uprising,War,6.6, (5.3K),2h 6m
11. Escape from Germany,War,5.4, (882),1h 37m
12. Laws of Man,War,4.1, (318),1h 38m
13. Goebbels and the Führer,War,6.7, (1.9K),2h 15m
14. Murder Company,War,3.6, (1.5K),1h 26m
15. Decoded,War,5.8, (405),2h 36m
16. Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,War,8.2, (639),2h 54m
17. Invasion,War,4.8, (662),1h 31m
18. Before Dawn,War,5.4, (919),1h 41m
19. Without Blood,War,7.5, (88),1h 31m
20. Quisling: The Final Days,War,7.1, (1K),2h 26m
"21. Love, Courage and the Battle of Bushy Run",War,5.1, (167),1h 53m
22. The Last Front,War,5.5, (595),1h 38m
23. Chandu Champion,War,7.8, (34K),2h 22m
24. Bau: Artist at War,War,7.0, (51),2h 10m
25. The Witch: Revenge,War,5.3, (763),1h 40m
"26. Canadian, Sniper",War,3.5, (346),1h 23m
27. WWII: Operation Phoenix,War,6.7, (61),1h 46m
28. Never Alone,War,7.2, (397),1h 25m
29. The Volunteers: The Battle of Life and Death,War,6.2, (212),2h 24m
30. Battlefield,War,6.2, (624),1h 44m
31. The Shamrock Spitfire,War,5.1, (468),1h 48m
32. Ka Whawhai Tonu,War,7.4, (169),1h 55m
33. The Friendly,War,8.4, (14),1h 41m
34. Atatürk II: 1881-1919,War,8.9, (1.9K),2h 21m
35. The Yin Yang Master Zero,War,5.7, (254),1h 52m
36. White Courage,War,6.4, (604),1h 55m
37. Orang Ikan,War,6.5, (31),1h 23m
38. Kang Mak,War,6.4, (747),2h 2m
39. Klitschko: More Than a Fight,War,6.3, (485),1h 36m
40. Aserb: The Squadron,War,5.2, (295),2h
