Title,Genre,Rating,Votes,Duration
1. Horizon: An American Saga - Chapter 1,Western,6.7, (39K),3h 1m
2. Horizon: An American Saga - Chapter 2,Western,7.1, (1.2K),3h 10m
3. Rust,Western,3.3, (153),2h 13m
4. The Thicket,Western,5.8, (2.8K),1h 48m
5. The Unholy Trinity,Western,7.5, (48),1h 33m
6. Calamity Jane,Western,4.4, (780),1h 35m
7. Pedro Páramo,Western,6.3, (2.8K),2h 10m
8. Golden Kamuy,Western,6.3, (2.5K),2h 7m
9. Buffalo Kids,Western,6.6, (621),1h 33m
10. Over the Red River,Western,3.6, (71),1h 23m
11. Unnatural,Western,5.1, (84),1h 44m
12. The Ballad of Davy Crockett,Western,4.6, (242),1h 36m
13. Outlaw Posse,Western,4.3, (512),1h 48m
14. Seven Cemeteries,Western,4.4, (484),1h 24m
15. The Guardsmen,Western,3.5, (136),N/A
16. Black Creek,Western,N/A,N/A,1h 56m
17. Eye for an Eye 2,Western,6.5, (468),1h 30m
18. Paradise,Western,6.9, (77),1h 23m
19. The Night They Came Home,Western,3.5, (422),1h 45m
20. Fyre Rises,Western,6.5, (321),1h 50m
21. They Call Her Death,Western,6.5, (21),1h 32m
22. Same Old West,Western,8.5, (26),1h 38m
23. Was Once a Hero,Western,9.3, (33),N/A
24. Doc Holliday 2,Western,6.0, (9),N/A
25. Taken from Rio Bravo,Western,3.0, (306),1h 20m
26. Hinter dem Eisernen Horizont,Western,7.6, (12),1h 28m
27. The Ecstasy of Gold: The Treasure of Jesse James,Western,6.8, (11),1h 30m
28. Bolero,Western,3.2, (24),N/A
29. Oltre il confine,Western,N/A,N/A,1h 16m
30. Andromeda: 1883,Western,3.5, (13),N/A
31. Ghosts of Red Ridge,Western,3.3, (143),1h 21m
32. Malaikottai Vaaliban,Western,6.0, (4.1K),2h 36m
33. Doc Holliday 3,Western,N/A,N/A,N/A
34. The Dakota War: Revenge,Western,N/A,N/A,1h 32m
35. My Redneck Neighbor: Chapter 1 - The Rednecks Are Coming,Western,5.0, (6),1h 14m
36. Lady Outlaw,Western,6.8, (16),1h 44m
37. Searching for the Elephant,Western,5.8, (32),1h 56m
38. Oro Amargo,Western,7.8, (25),1h 23m
39. Coyote Woman,Western,2.2, (73),1h 50m
40. Astral Plane Drifter,Western,8.0, (12),N/A
41. Escanyapobres,Western,7.2, (35),1h 42m
42. The Wicked: Reborn,Western,N/A,N/A,N/A
43. In Search of Bass Reeves,Western,6.1, (56),1h 45m
44. The Guardsmen: Part 2,Western,3.6, (85),N/A
45. Harsh Treatment,Western,8.0, (10),N/A
46. Once Upon a Time in Amityville,Western,3.5, (45),1h 13m
47. Mr. Pettigrew,Western,N/A,N/A,N/A
48. The Guardsmen: Part 3,Western,3.3, (83),N/A
49. Joe Crist,Western,6.9, (34),53m
50. Death After Dusk,Western,5.7, (88),2h 20m
51. Bo Nan Za,Western,9.1, (27),1h 1m
52. The forgotten Winchester,Western,N/A,N/A,N/A
53. A Almería de Leone,Western,N/A,N/A,51m
54. El Vaquero,Western,8.4, (8),1h 33m
55. Zoloto Umalty,Western,5.0, (100),1h 49m
56. Adiós al amigo,Western,7.3, (7),1h 58m
57. Myall Creek Day of Justice,Western,6.4, (17),1h 18m
58. Dans l'ombre de Marlow,Western,N/A,N/A,1h 20m
59. Buried on Shine Mountain,Western,8.8, (9),N/A
60. The Film Café,Western,N/A,N/A,N/A
61. Blood Corral,Western,6.3, (8),N/A
62. A Cowboy Against Thunder,Western,N/A,N/A,N/A
63. Jama,Western,6.3, (14),1h 11m
64. The Cowboy Capital,Western,N/A,N/A,N/A
65. Last Flamingo of the Red Summer Sunset,Western,8.8, (13),1h 20m
66. Ghost Town,Western,N/A,N/A,N/A
67. The Letter,Western,N/A,N/A,N/A
68. Bullet or Rope,Western,N/A,N/A,55m
69. The Wolf in the Chute,Western,9.0, (12),33m
70. Boot Hill,Western,N/A,N/A,N/A
71. The Legacy of the 12 Westerns,Western,N/A,N/A,N/A
72. Pale Moon,Western,N/A,N/A,N/A
73. Travesty,Western,6.4, (5),1h 18m
74. The Partners,Western,N/A,N/A,58m
75. Sinners in the Hands of an Angry God,Western,N/A,N/A,1h 34m
76. The Golden Ghosts,Western,N/A,N/A,1h
77. The Ballad of Winchester Pete,Western,N/A,N/A,N/A
78. Vadogga,Western,N/A,N/A,1h 25m
79. 12 Million Dollar Movie on Paper,Western,N/A,N/A,N/A
80. Morningstar,Western,N/A,N/A,1h 24m
81. Lolo & Sosaku: The Western Archive,Western,N/A,N/A,1h 6m
82. Guns Blazin,Western,N/A,N/A,1h 28m
83. The Stand at Alder Creek,Western,N/A,N/A,53m
84. TV Heroes of the Wild West,Western,N/A,N/A,N/A
85. The Rattlesnake Twins,Western,N/A,N/A,50m
86. Goin' Home,Western,N/A,N/A,1h 31m
87. The Goods Bads and Uglys,Western,N/A,N/A,N/A
88. Attack on Tranquility,Western,N/A,N/A,1h 4m
