Movie Name,Genre,Ratings,Voting Counts,Duration
1 Fan,Comedy,6.7,0,94
AAY,Comedy,6.4,785,142
AMFAD: All My Friends Are Dead,"Mystery, Horror, Thriller",4.5,1200,91
Comicsgate - How to Kill a Movement,Documentary,6.7,0,94
FamilyMan,Drama,6.7,0,94
Lifestories,Drama,8.5,2000,94
MissingCouple,Horror,5.3,449,93
Models Wanted,"Horror, News, Action, Mystery, Drama",8.8,32,94
OOTD: Outfit of the Designer,"Drama, Romance",5.6,41,94
RevolutionAnyone,Documentary,6.7,0,94
UNTRUTH: The Psychology of Trumpism,Documentary,7,175,94
ovemyselfie,Comedy,6.7,0,94
Descontrol,"Drama, Thriller, Action",6.7,0,94
(A)diexodos,Music,6.7,0,94
(Iconic),"Horror, Thriller",6.7,0,90
(Pri)sons,"Crime, Horror, Action",5,244,100
"(Re)membering the riots in Afrikaanderwijk in 1972 or guest, host, ghos-ti",Documentary,6.7,0,94
(S)KiDS,Animation,6.7,0,85
(Un)lucky Sisters,Comedy,5.2,842,82
*YES I DO*,Romance,6.7,0,94
*smiles and kisses you*,Documentary,8,11,94
"...Mayombe, Paula?","Horror, Mystery, History, Fantasy, Drama, Thriller",6.7,0,94
...and Juliet,Documentary,6.7,0,94
.ask,Horror,8.3,21,94
0000 Kilometre,Romance,2.9,120,110
00:00 Absurdo Error Andinista,Comedy,6.7,0,64
1,Documentary,6.7,0,94
01 Redux,Documentary,6.7,0,94
045 - Sporen van Mijnstreek-Oost,Documentary,9.3,7,94
06.02 Umut,Documentary,6.7,0,94
7.03,Drama,6.7,0,94
1 Bad Azz Day,Comedy,6.7,0,94
1 Million Followers,Thriller,4.8,647,101
1 Thessalonians,Documentary,6.7,0,94
1-800-Missing,Drama,6.7,0,94
1-800-on-Her-Own,"Documentary, Drama",8,15,94
10 Days of a Curious Man,"Mystery, Drama, Thriller, Crime",5.8,1200,94
10 Lives,"Animation, Fantasy, Family, Comedy",5.9,1800,88
10 Pasimatymu,"Romance, Comedy",6.3,21,99
10 Things about Sally,"Romance, Comedy",6.7,0,80
10 Years A Dog,"Drama, Comedy",6.7,0,90
10 rounds,Documentary,6.7,0,94
10/31 Part 4,"Horror, Mystery, Fantasy, Drama, Thriller",5.6,16,94
100 Crores,Action,6.2,4000,94
100 Litres of Gold,Comedy,7.4,18,88
100 Yillik Armagan,Documentary,7.4,18,94
100 di questi anni,"Documentary, Comedy",6.7,0,90
100dB Indust-bag,Documentary,8.8,9,94
101 Reasons to Visit South Korea,Documentary,6.7,0,94
1040 km,Comedy,6.7,0,94
105 Minutes,"Horror, Thriller",4.1,2300,120
10FT Down,Thriller,9.1,14,94
11 Brothers: The Movie,"Sport, Documentary",6.7,0,94
11 Días en Ayacucho,Documentary,6.7,0,94
11 Rebels,"Drama, History, Thriller, Action",6.1,217,155
11.11.18 Soldat Inconnu,"Drama, Fantasy, War",6.7,0,94
1134,Thriller,6.6,1300,103
12 Baes of Christmas,Comedy,3.6,34,94
12 Digit Masterstroke: The untold story of Aadhar,Documentary,9.6,12,94
12 Gaun,Action,6.3,841,147
12 Hours on the Streets,Crime,6.7,0,94
12 Million Dollar Movie on Paper,"Western, Comedy, Crime",6.7,0,94
12 and More Omissions,Drama,6.7,0,94
12 to Midnight,"Horror, Thriller, Action",3.6,268,96
13 Lentes De Um Final Feliz (Documentário Completo),"Documentary, Music",9.9,34,94
13th Summer,Thriller,4.2,168,96
14,Drama,7.5,1300,94
14 Days Love,"Family, Drama, Romance",7.5,8,94
14 Days to Feel Better,Comedy,5.1,247,90
142 hronia,Documentary,7.7,18,94
143,Drama,6.7,0,94
1506 - The Lisbon Genocide,Drama,8.6,6,94
1600 Meter,"Family, Sport, Drama",6.7,0,94
17 Pages,Documentary,6.7,0,94
1710 Bunker Hill Avenue,Sci-Fi,6.7,0,94
18×2 Beyond Youthful Days,"Drama, Romance",7.3,1800,94
1952: The Invasion of Washington,Documentary,6.7,0,94
1953. Walka o nadzieje,Documentary,6.7,0,94
1957,Drama,6.7,0,94
1963,Animation,6.7,0,57
1970 Love Story,"Drama, Romance",7.9,12,94
1978,"Drama, Horror, Thriller",5.5,151,94
1980 Lo Radhekrishna,"Drama, Romance, Action",8.5,1200,94
1984: 40 Years Strong and True,Sport,6.7,0,94
1995,Comedy,6.8,578,120
1999 Hiraeth,Mystery,6.7,0,94
1K,Drama,6.7,0,94
2 Asunder,Drama,6.7,0,94
2 Fingers Honey 2,Comedy,7.2,88,106
2 Lives,Fantasy,6.7,0,94
2 Peter,Documentary,6.7,0,94
2 Sides of Beauty,Drama,6.7,0,94
2 Steps Forward,"Family, Drama",6.7,0,94
20 Jaar Het Eiland,Comedy,7.5,31,94
20.10.20 - Flugten Fra Herstedvester,"Documentary, Drama, Crime",6.7,0,94
200% Wolf,"Action, Family, Comedy, Fantasy, Animation, Adventure",5.9,1200,98
2001: Creating Kubrick's Space Odyssey,Documentary,8.3,7,94
200KG Vampire,"Mystery, Horror, Comedy",5.2,28,93
2015: Future Uncertain,"Sci-Fi, Comedy",6.9,17,72
2020,"Drama, Comedy",7.5,79,87
2023 San Diego International Kids' Film Festival,Documentary,6.7,0,94
"2023, L'année Où Tout S'est Embrasé - Backseat, Le Film",Documentary,6.7,0,94
2024 Daytime HMA Awards,Music,6.7,0,109
2024 Pokémon World Championships,Game-Show,6.7,0,94
2029,Thriller,6.2,6,94
2032: Pako Varissuolta,Action,6.7,0,67
2053 - A Best Case Scenario,"Sci-Fi, History, Talk-Show",6.7,0,58
2054: The Wreckoning,Animation,6.7,0,60
2073,"Documentary, Thriller",5.1,1600,94
21 Numara: Askin Tadi,Comedy,4.7,16,96
21.4,Mystery,6.7,0,94
215 Miles,Drama,6.7,0,94
22 Words: Exposing the Loss of Decency in American Education,Documentary,7.4,9,94
23 Horas,"Adventure, Sci-Fi, Comedy",7.6,17,94
23 Mile,Documentary,6.7,0,94
23:47,Drama,6.7,0,94
24,Documentary,6.7,0,94
24 Hours,Drama,8.2,5,94
24 Hours to D-Day,"War, Action",5,28,83
24 Stunden,Documentary,6.7,0,94
24 Wei,Drama,6.7,0,94
2475 Dawn of Revolution,Animation,6.3,152,127
2550,Documentary,8.2,64,94
26-Jan,"Drama, Thriller",6.7,0,94
2B Honest,Thriller,5.5,81,125
2Unbreakable,Documentary,8.6,7,94
2nd Miracle in Cell No. 7,"Family, Drama, Comedy",7.8,197,147
3 Atos de Moisés,Documentary,6.7,0,94
3 Days 2 Nights in Poblacion,Drama,4.4,14,94
"3 Days, 3 Murders","Drama, Crime",6.7,0,94
3 Frauen 1 Streik,History,6.6,22,94
3 Generations,Drama,6.7,0,94
