Title,Genre,Rating,Votes,Duration,Genre_Source
1. Dune: Part Two,Action,8.5, (609K),2h 46m,Action
2. Venom: The Last Dance,Action,6.0, (104K),1h 50m,Action
3. Gladiator II,Action,6.6, (213K),2h 28m,Action
4. Sonic the Hedgehog 3,Action,6.9, (51K),1h 50m,Action
5. The Lord of the Rings: The War of the Rohirrim,Action,6.3, (27K),2h 14m,Action
6. William Tell,Action,5.8, (1.3K),2h 13m,Action
7. Kraven the Hunter,Action,5.4, (41K),2h 7m,Action
8. Pushpa: The Rule - Part 2,Action,6.1, (53K),3h 21m,Action
9. Furiosa: A Mad Max Saga,Action,7.5, (278K),2h 28m,Action
10. Elevation,Action,5.6, (19K),1h 31m,Action
11. Borderlands,Action,4.7, (44K),1h 41m,Action
12. Deadpool & Wolverine,Action,7.6, (477K),2h 8m,Action
13. The Ministry of Ungentlemanly Warfare,Action,6.8, (131K),2h 2m,Action
14. Civil War,Action,7.0, (231K),1h 49m,Action
15. The Count of Monte-Cristo,Action,7.6, (32K),2h 58m,Action
16. Twisters,Action,6.5, (159K),2h 2m,Action
17. Carry-On,Action,6.5, (158K),1h 59m,Action
18. The Crow,Action,4.7, (32K),1h 51m,Action
19. Marco,Action,7.0, (19K),2h 25m,Action
20. The Fall Guy,Action,6.8, (215K),2h 6m,Action
21. The Beekeeper,Action,6.3, (152K),1h 45m,Action
22. Kingdom of the Planet of the Apes,Action,6.9, (149K),2h 25m,Action
23. Madame Web,Action,4.0, (99K),1h 56m,Action
24. Homestead,Action,5.4, (3.2K),1h 52m,Action
25. Rebel Ridge,Action,6.8, (85K),2h 11m,Action
26. Red One,Action,6.3, (137K),2h 3m,Action
27. Thelma,Action,7.0, (21K),1h 38m,Action
28. Hellboy: The Crooked Man,Action,4.5, (12K),1h 39m,Action
29. Old Guy,Action,5.1, (1.4K),1h 34m,Action
30. Road House,Action,6.2, (165K),2h 1m,Action
31. Transformers One,Action,7.6, (47K),1h 44m,Action
32. Attack on Titan the Movie: The Last Attack,Action,9.3, (14K),2h 25m,Action
33. Bad Boys: Ride or Die,Action,6.5, (97K),1h 55m,Action
